rt_time,smiles
306.0,Cc1nnc(-c2ccccc2)c(O)n1
498.00000000000006,N#Cc1cc(Br)c(O)c(Br)c1
312.0,CC(C)c1ccc(N)cc1
294.0,Cc1nnc(-c2ccccc2)c(=O)n1N
491.99999999999994,CCc1cccc(C)c1N1C(=O)COCC1C
798.0,CCN(CC)C(=O)SCc1ccccc1Cl
864.0,CCCN(CCC)C(=O)SCc1ccccc1
510.0,N#Cc1c(Cl)cccc1Cl
240.0,N=C(O)c1c(Cl)cccc1Cl
690.0,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
558.0,N#Cc1cc(I)c(O)c(I)c1
312.0,Nc1cnn(-c2ccccc2)c(=O)c1Cl
594.0,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
414.0,CSc1nnc(C(C)(C)C)c(=O)n1N
354.0,CC(C)(C)c1nnc(O)n(N)c1=O
570.0,COC(O)=Nc1cccc(OC(O)=Nc2cccc(C)c2)c1
702.0,Fc1ccc(C2(Cn3cncn3)OC2c2ccccc2Cl)cc1
732.0,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1
744.0,C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1
462.0,CCc1cccc(CC)c1N(COC)C(=O)CS(=O)(=O)O
444.0,CCc1cccc(CC)c1N(COC)C(=O)C(=O)O
450.0,CCOCN(C(=O)C(=O)O)c1c(C)cccc1CC
462.0,CCOCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1CC
702.0,CCOCN(C(=O)CCl)c1c(C)cccc1CC
924.0,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1
336.0,CCN=C(O)N=C(O)C(C#N)=NOC
864.0,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1
600.0,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C
360.0,CC1(C)C(=O)Oc2ccc(OS(C)(=O)=O)cc21
954.0,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl
702.0,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12
900.0,CC(C)=NOCCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1
990.0,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
432.0,COC(=O)c1sccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1
102.0,COc1nc(C)nc(=N)[nH]1
270.0,COC(=O)c1ccccc1S(N)(=O)=O
426.0,COC(=O)c1ccccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1
426.0,COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1
474.0,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(O)=Nc1nc(OC)cc(OC)n1
