rt_time,smiles
666.0,Cn1cnc2c(ncn2C2OC(CO)C(O)C2O)c1=N
426.0,Cn1c(=N)[nH]c2c(ncn2C2OC(CO)C(O)C2O)c1=O
552.0,OCC1OCC(O)C(O)C1O
732.0,NC(CCCC(=O)O)C(=O)O
774.0,O=C(O)CCC(=O)C(=O)O
426.0,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O
432.0,Nc1ccc(C(=O)O)cc1
900.0,O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O
510.0,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
630.0,CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
396.0,Nc1nc[nH]c2ncnc1-2
372.0,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
744.0,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
762.0,N=C(O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N
690.0,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
1488.0,N=C(N)NCCCC(N)C(=O)O
852.0,N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O
744.0,N=C(O)CC(N)C(=O)O
750.0,NC(CC(=O)O)C(=O)O
828.0,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
516.0,C[N+](C)(C)CC(=O)[O-]
372.0,O=C(O)CCCCC1SCC2N=C(O)NC21
654.0,C[N+](C)(C)CCCC(=O)[O-]
372.0,CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
228.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
654.0,C[N+](C)(C)CC(O)CC(=O)[O-]
882.0,N=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)n1
780.0,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OCC1OC(n2ccc(=N)nc2O)C(O)C1O
234.0,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
930.0,O=C(O)C=C(CC(=O)O)C(=O)O
756.0,CC(O)(CC(=O)O)C(=O)O
930.0,O=C(O)CC(O)(CC(=O)O)C(=O)O
780.0,N=C(O)NCCCC(N)C(=O)O
792.0,N=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(O)n1
702.0,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCS
726.0,CN(CC(=O)O)C(=N)N
414.0,CN1CC(O)=NC1=N
930.0,N=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)n1
546.0,N=c1ccn(C2OC(CO)C(O)C2O)c(O)n1
252.0,CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
354.0,CC(=O)N(O)CCCC1N=C(O)CN=C(O)CN=C(O)CN=C(O)C(CCCN(O)C(C)=O)N=C(O)C(CCCN(O)C(C)=O)N=C1O
1200.0,CN(C)C(=N)NCCCC(N)C(=O)O
360.0,CN(C)c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2n1
582.0,CN(C)C(Cc1cnc[nH]1)C(=O)O
1152.0,CN(C)CCCCC(N)C(=O)O
474.0,C[N+]1(C)CCCC1C(=O)[O-]
936.0,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
228.0,CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
726.0,C[N+](C)(C)C(Cc1cnc([S-])[nH]1)C(=O)O
564.0,Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)c2cc1C
282.0,CC(=O)N(O)CCCC1N=C(O)CN=C(O)CN=C(O)CN=C(O)C(CCCN(O)C(C)=O)N=C(O)C(CCCN(O)C(C)=O)N=C1O
930.0,O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O
798.0,O=P(O)(O)OCC1OC(O)(CO)C(O)C1O
786.0,O=C(O)C=CC(=O)O
930.0,N=c1nc(O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)O)C(O)C3O)c2[nH]1
930.0,N=c1nc(O)c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OC4OC(CO)C(O)C(O)C4O)C(O)C3O)c2[nH]1
684.0,O=C(O)C(O)C(O)C(O)C(O)CO
696.0,NC1C(O)OC(CO)C(O)C1O
720.0,OCC1OC(O)C(O)C(O)C1O
852.0,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O
726.0,NC(CCC(=O)O)C(=O)O
426.0,COC(=O)C(N)CCC(=O)O
732.0,N=C(O)CCC(N)C(=O)O
720.0,O=C(O)CCCC(=O)O
900.0,NC(CCC(O)=NC(CSSCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O)C(O)=NCC(=O)O)C(=O)O
792.0,O=CC(O)COP(=O)(O)O
606.0,O=C(O)C(O)CO
732.0,O=P(O)(O)OC(CO)CO
726.0,C[N+](C)(C)CCOP(=O)([O-])OCC(O)CO
