rt_time,smiles
272.01198,CN1Cc2c(ccc3c2OCO3)[C@@H]2[C@H]1c1cc3c(cc1C[C@@H]2O)OCO3
291.864,COc1cc2c(cc1OC)[C@H]1[C@@H](C)c3ccc(OC)c(OC)c3CN1CC2
206.58198,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2
204.40002,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c([O-])c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C
252.67398,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3
278.89698,CCC12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)C32
206.03802,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2
375.681,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
162.387,O=S(=O)(O)ON=C(CC(O)c1ccccc1)SC1OC(CO)C(O)C(O)C1O
106.10298,C=CC(O)CC(=NOS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O
251.18598,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3
221.509979999999,CS(=O)CCCCN=C=S
226.108019999999,CS(=O)/C=C/CCN=C=S
216.863999999999,COC(=O)[C@]1(O)C[C@@]23CCCN4CC[C@@]5(c6ccc7c(c6N[C@]15CC2)OCO7)[C@@H]43
130.719,N=C(O)CN1C[C@H]2C[C@@H](C1)c1cccc(=O)n1C2
255.340019999999,CC[C@]12C=CCN3CCc4c(n(c5ccccc45)[C@](O)(C(=O)OC)C1)[C@@H]32
273.276,COC(=O)C1=C2Nc3ccccc3[C@]23CCN2CC[C@H]1[C@@H]([C@@H](C)OC)[C@@H]23
324.91998,COc1ccc(/C=C/C(=O)c2c(O)cc(O[C@@H]3OC(CO)[C@@H](O)[C@@H](O)C3O[C@@H]3OC(C)[C@H](O)[C@H](O)C3O)cc2O)cc1
447.03,O=C1CC(c2ccccc2O)Oc2ccccc21
366.914999999999,COc1ccccc1C=CC(=O)O
106.077,C=CCC(=NOS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O
258.78798,COc1cc(C(C)=O)cc(OC)c1O
300.26202,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
310.73802,COc1ccc(/C=C/C(=O)O)cc1OC
375.32898,COc1cc(/C=C/C(=O)O)cc(OC)c1
264.90402,O=C(O)/C=C/c1cccc(O)c1
361.65396,COc1cccc(/C=C/C(=O)O)c1
165.79398,Cc1c(N)c(=O)n(-c2ccccc2)n1C
290.763,O=C(CCc1ccccc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O
175.923,O=c1cc[nH]c2ccccc12
351.32298,COc1ccc(C=CC(=O)O)cc1
172.434,CSCCCCC(=NOS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O
