epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,167.94594806173572,131.7965342203776,112.72512563069661,168.44320678710938,132.29652404785156,113.2251205444336,120.53359985351562,58.58197021484375,59.625762939453125,0.8946391344070435,0.7100562453269958,0.6982975602149963,58504.94140625,42968.65234375,29201.779296875,241.87794733346402,207.2888138413407,170.88528110072852,-0.13619780540466309,0.07608968019485474,0.15131455659866333,131.7965342203776
2,0.0009997532801828658,122.00834257706352,128.8011728922526,96.11377970377605,122.50834655761719,129.2938995361328,96.6137924194336,73.70626831054688,55.273712158203125,44.6807861328125,0.703974187374115,0.65583735704422,0.6016308069229126,34336.48828125,39149.25,20757.115234375,185.30107468994885,197.8616941199079,144.07329813110755,0.3331666588783264,0.15821433067321777,0.3967400789260864,128.8011728922526
3,0.0009994449374809851,122.1794201394786,121.29892985026042,120.3596700032552,122.67941284179688,121.7989273071289,120.85967254638672,80.89645385742188,54.75201416015625,113.46917724609375,0.6317057609558105,0.60970139503479,0.6450952291488647,29091.14453125,34870.70703125,26745.626953125,170.5612632787703,186.73699963116576,163.54090299715543,0.4350340962409973,0.2502114176750183,0.2226971983909607,121.29892985026042
4,0.0009990133642141358,114.06247777524202,137.02269490559897,106.52169799804688,114.5624771118164,137.522705078125,107.02169036865234,71.5828857421875,78.61054992675781,76.50880432128906,0.6078433990478516,0.6030098795890808,0.5902208685874939,26879.673828125,35328.05078125,19820.244140625,163.95021752997158,187.95757707857908,140.78438883848239,0.4779821038246155,0.24037760496139526,0.42396825551986694,121.29892985026042
5,0.000998458666866564,104.9796086186948,110.73555501302083,113.03454081217448,105.47959899902344,111.23555755615234,113.52106475830078,70.0494384765625,73.87396240234375,61.87872314453125,0.5459097027778625,0.5809860825538635,0.6603059768676758,22611.267578125,28249.578125,28019.0078125,150.37043452130143,168.0761081325957,167.3887923742208,0.5608768463134766,0.392578661441803,0.18568921089172363,110.73555501302083
6,0.00099778098230154,94.72557698125425,107.13755798339844,103.42478434244792,95.2255859375,107.6046371459961,103.92479705810547,58.354827880859375,55.67437744140625,64.7464599609375,0.5283355116844177,0.5429450869560242,0.6326672434806824,20307.923828125,26731.798828125,23153.380859375,142.505872960117,163.49862026367379,152.16235033468365,0.6056090593338013,0.42521387338638306,0.32709795236587524,107.13755798339844
7,0.0009969804777275899,82.67205876889436,92.3324686686198,99.31158447265625,83.16959381103516,92.83246612548828,99.81158447265625,47.42791748046875,42.93133544921875,35.686279296875,0.46364936232566833,0.49510112404823303,0.5706058740615845,15862.6044921875,20881.048828125,22373.025390625,125.94683200536447,144.50276408472263,149.57615247968172,0.6919395923614502,0.5510165095329285,0.3497772216796875,92.3324686686198
8,0.000996057350657239,77.36927762238875,105.34513346354167,89.44386291503906,77.86927795410156,105.84513092041016,89.94385528564453,43.639007568359375,66.79815673828125,50.076202392578125,0.41686001420021057,0.5104835033416748,0.5547074675559998,13285.0830078125,23088.123046875,17845.7109375,115.2609344392648,151.9477642049234,133.587839781546,0.7419964671134949,0.5035600662231445,0.4813537001609802,92.3324686686198
9,0.0009950118288582787,70.87447290835173,93.29825083414714,84.77758280436198,71.37448120117188,93.79824829101562,85.27758026123047,37.973419189453125,49.762664794921875,52.428253173828125,0.38459140062332153,0.4737791121006012,0.4408462941646576,11537.21484375,19037.16796875,13710.83203125,107.41142790108509,137.97524404308913,117.09326210867131,0.775941014289856,0.5906635522842407,0.601524829864502,92.3324686686198
10,0.0009938441702975688,66.90763257897419,83.4786885579427,79.06764475504558,67.40663146972656,83.97779083251953,79.56657409667969,46.13580322265625,50.837066650390625,52.54780578613281,0.29367947578430176,0.43014398217201233,0.4180715084075928,8746.8447265625,16221.2412109375,12502.4775390625,93.52456750267547,127.36263663625019,111.81447821754793,0.8301315307617188,0.6512115001678467,0.6366429924964905,83.4786885579427
11,0.000992554663077387,62.43926338527513,92.93372344970703,92.1359354654948,62.938385009765625,93.4337158203125,92.63593292236328,42.6640625,58.663604736328125,60.030120849609375,0.28773999214172363,0.4570365250110626,0.4817821979522705,8163.13232421875,18507.462890625,15950.2060546875,90.35005436754729,136.04213645273657,126.29412517883601,0.8414674997329712,0.6020532846450806,0.5364423990249634,83.4786885579427
12,0.0009911436253643444,56.66810077169667,91.27076975504558,89.99574279785156,57.16620635986328,91.7707748413086,90.4957504272461,40.06034469604492,73.32077026367188,74.58039855957031,0.21565523743629456,0.4132368564605713,0.47444987297058105,6479.70361328125,15856.2646484375,14424.8466796875,80.49660622213368,125.92166075952738,120.1034832121346,0.874160647392273,0.6590592265129089,0.5807735919952393,83.4786885579427
13,0.000989611405310883,66.76601807967477,91.63609568277995,105.04032897949219,67.26001739501953,92.1360855102539,105.54031372070312,50.5076789855957,47.420013427734375,46.3978271484375,0.25434061884880066,0.4866490364074707,0.6189108490943909,7527.57666015625,20349.783203125,24236.814453125,86.76160821559412,142.6526663021936,155.68177302794635,0.8538103699684143,0.5624397993087769,0.29561030864715576,83.4786885579427
14,0.0009879583809693738,52.36411517599355,96.74122365315755,94.0434061686198,52.861167907714844,97.2412338256836,94.54340362548828,39.301605224609375,54.9305419921875,58.92295837402344,0.22948123514652252,0.44292256236076355,0.5871325731277466,5589.962890625,17899.953125,19271.607421875,74.7660544005433,133.79070642238196,138.8222151598043,0.8914398550987244,0.6151158809661865,0.43991315364837646,83.4786885579427
15,0.0009861849601988384,50.732388372006625,85.05062357584636,96.99901326497395,51.22987365722656,85.55062103271484,97.4990234375,31.72991943359375,55.358642578125,39.449310302734375,0.18833331763744354,0.40141281485557556,0.5934237837791443,5062.49267578125,14155.1220703125,21313.501953125,71.15119588440696,118.97530025308825,145.99144479429265,0.9016836285591125,0.6956371068954468,0.3805699348449707,83.4786885579427
16,0.0009842915805643156,42.95906282507855,91.71602376302083,93.23706563313802,43.44294357299805,92.21438598632812,93.73706817626953,27.01824951171875,48.500518798828125,35.749176025390625,0.17692174017429352,0.4404338300228119,0.6509382128715515,3914.854736328125,17743.08203125,25079.8359375,62.568800023079596,133.20316074046443,158.36614517471844,0.92397141456604,0.6184889078140259,0.27110975980758667,83.4786885579427
17,0.000982278709228899,40.4005009195079,82.73415629069011,85.05097961425781,40.894798278808594,83.20478057861328,85.5422134399414,34.525787353515625,53.56768798828125,31.87457275390625,0.16427162289619446,0.3983539044857025,0.5681304931640625,3417.9130859375,14760.4794921875,19828.931640625,58.46292060731742,121.49271374114375,140.81523937637218,0.9336222410202026,0.6826207637786865,0.4237157106399536,82.73415629069011
18,0.0009801468428384716,38.26307081139606,89.53788757324219,102.4852523803711,38.76306915283203,90.03789520263672,102.98526763916016,25.296051025390625,45.338470458984375,50.14483642578125,0.13548320531845093,0.43063417077064514,0.6191508173942566,2859.716796875,16606.384765625,24276.8203125,53.47631996384007,128.8657625811643,155.81020606012945,0.9444627165794373,0.6429301500320435,0.294447660446167,82.73415629069011
19,0.000977896507399165,39.260404835576594,83.86254119873047,90.30125427246094,39.748172760009766,84.36254119873047,90.80126953125,28.63665771484375,48.52313232421875,50.56793212890625,0.1235032007098198,0.3719449043273926,0.5479852557182312,2838.47802734375,16123.8544921875,18112.896484375,53.277368810253286,126.97974047928867,134.58416134291213,0.9448752403259277,0.6533055305480957,0.4735885262489319,82.73415629069011
20,0.0009755282581475768,42.62114251178244,80.21895599365234,84.56333923339844,43.116737365722656,80.71895599365234,85.06333923339844,34.46445083618164,44.939849853515625,40.70123291015625,0.13349618017673492,0.38600921630859375,0.5112331509590149,3150.434814453125,15534.46875,16440.130859375,56.12873430296754,124.63734893682552,128.21907369566745,0.9388168454170227,0.6659784317016602,0.5222037434577942,80.21895599365234
21,0.0009730426794137727,35.664545142132305,80.49183654785156,84.1534932454427,36.164546966552734,80.99183654785156,84.65349578857422,28.589324951171875,60.524749755859375,50.33795166015625,0.11373887211084366,0.380580335855484,0.5019629001617432,2201.46435546875,14019.0263671875,14424.56640625,46.91976508326475,118.40196943964868,120.10231640667885,0.9572463631629944,0.6985634565353394,0.5807816982269287,80.21895599365234
22,0.0009704403844771128,40.03091745791228,80.05380249023438,79.3939437866211,40.52490997314453,80.5535888671875,79.8939437866211,30.325042724609375,47.856292724609375,36.03662109375,0.10866347700357437,0.37553560733795166,0.5359783172607422,2941.098876953125,14940.5107421875,15961.6650390625,54.23189907197723,122.23138198591842,126.33948329426751,0.942882239818573,0.678749680519104,0.5361093282699585,80.05380249023438
23,0.0009677220154149337,39.791140846584156,85.72881825764973,81.49242146809895,40.29079818725586,86.22882080078125,81.99242401123047,31.797698974609375,74.92472839355469,34.754608154296875,0.11640924215316772,0.3673372268676758,0.5350235104560852,2707.067626953125,15549.5205078125,15954.6904296875,52.029488051999174,124.69771653006522,126.31187762711589,0.9474272727966309,0.6656547784805298,0.5363120436668396,80.05380249023438
24,0.0009648882429441257,41.737940249235734,75.6875851949056,77.43316650390625,42.22889709472656,76.18758392333984,77.93082427978516,35.316650390625,57.390411376953125,22.572113037109375,0.14033572375774384,0.3360227048397064,0.48577186465263367,2852.4697265625,11600.0712890625,14619.5107421875,53.40851735971052,107.70362709334584,120.91116880663878,0.9446035027503967,0.7505757212638855,0.5751160979270935,75.6875851949056
25,0.0009619397662556434,33.9922052466351,74.4027926127116,85.3317159016927,34.487483978271484,74.90279388427734,85.83171844482422,27.257080078125,53.414031982421875,41.69305419921875,0.10311146080493927,0.3508509397506714,0.4993276596069336,1867.0003662109375,12810.28125,15581.8291015625,43.20879963862613,113.18251300443899,124.82719696269119,0.9637418389320374,0.7245538234710693,0.5471484065055847,74.4027926127116
26,0.0009588773128419905,31.572810753532078,80.20651372273763,76.83317311604817,32.0686149597168,80.70651245117188,77.33316802978516,28.890625,48.61975860595703,17.954605102539062,0.07999847829341888,0.35150495171546936,0.4976058900356293,1593.7083740234375,14852.1015625,15270.3916015625,39.92127720932081,121.86919857987087,123.57342595219451,0.969049334526062,0.6806507110595703,0.5561996698379517,74.4027926127116
27,0.0009557016383177226,33.62670782338018,84.53134028116862,89.50719706217448,34.125274658203125,85.03134155273438,90.0072021484375,27.1719970703125,61.32628631591797,23.739593505859375,0.12627986073493958,0.37943825125694275,0.5602331757545471,2206.166748046875,16096.1123046875,20315.724609375,46.96984935090675,126.87045481390653,142.53324036650187,0.9571550488471985,0.6539020538330078,0.4095681309700012,74.4027926127116
28,0.0009524135262330098,32.61933368185292,83.28307978312175,97.60596720377605,33.116188049316406,83.7830810546875,98.07404327392578,25.664337158203125,43.802093505859375,30.931854248046875,0.09280721098184586,0.4127868413925171,0.6149398684501648,1860.048583984375,17863.888671875,22881.390625,43.12828055909921,133.65585910043376,151.26595990175716,0.9638768434524536,0.6158913373947144,0.33500272035598755,74.4027926127116
29,0.0009490137878803078,29.818557407545008,80.75454203287761,88.68787638346355,30.31704330444336,81.2545394897461,89.1630630493164,25.056060791015625,59.03533935546875,35.048858642578125,0.07738442718982697,0.41285741329193115,0.5705572962760925,1530.7926025390625,16871.818359375,19879.587890625,39.12534475936362,129.89156384990906,140.9949924310257,0.9702711701393127,0.6372227668762207,0.42224353551864624,74.4027926127116
30,0.0009455032620941839,30.366987643034562,74.50767135620117,76.11768086751302,30.864669799804688,75.0076675415039,76.61767578125,26.96917724609375,48.671722412109375,15.598419189453125,0.10708800703287125,0.3540504276752472,0.5013521909713745,1605.6611328125,12638.1552734375,15635.3427734375,40.070701676068765,112.41955022787407,125.04136424974537,0.9688171744346619,0.7282549142837524,0.5455931425094604,74.4027926127116
31,0.0009418828150443468,28.124757849651836,70.9396858215332,72.90994771321614,28.617551803588867,71.43968963623047,73.40995025634766,21.473114013671875,57.72368621826172,24.542724609375,0.08883120864629745,0.325173944234848,0.5022657513618469,1532.5328369140625,11436.5,14525.9892578125,39.14757766342718,106.94157283301944,120.52381199502652,0.9702373743057251,0.754092812538147,0.5778340697288513,70.9396858215332
32,0.0009381533400219318,30.39429573390795,75.26383209228516,76.12279764811198,30.893583297729492,75.76383209228516,76.622802734375,26.787036895751953,60.34906005859375,25.8948974609375,0.0835547000169754,0.34915438294410706,0.5267251133918762,1459.6114501953125,13350.1396484375,15609.578125,38.204861604190015,115.5428043992247,124.93829727109298,0.9716535210609436,0.712945818901062,0.5463419556617737,70.9396858215332
