epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,165.08742357336956,139.8472900390625,164.92013295491537,165.58294677734375,140.34727478027344,165.4201202392578,99.93409729003906,103.1258544921875,100.13481140136719,0.935870349407196,0.5706880688667297,0.7293939590454102,58149.88671875,38733.625,89825.7890625,241.14287615177437,196.80859991372327,299.709507794631,-0.11051642894744873,0.22839343547821045,-2.5422658920288086,139.8472900390625
2,0.0009997532801828658,135.73473689867103,125.92108154296875,146.38799540201822,136.2347412109375,126.42108154296875,146.88800048828125,78.3902587890625,77.77215576171875,58.9451904296875,0.7837466597557068,0.517795979976654,0.6576057076454163,40084.9296875,32961.890625,76614.0078125,200.21221163430567,181.55409834261522,276.7923550470641,0.23447859287261963,0.34337127208709717,-2.02126145362854,125.92108154296875
3,0.0009994449374809851,116.43223306407099,109.64424641927083,135.37468719482422,116.93223571777344,110.14424896240234,135.87469482421875,69.08950805664062,49.12091064453125,55.44532775878906,0.6827232837677002,0.4646557867527008,0.6403700709342957,30324.0,27047.640625,74315.0234375,174.13787640832192,164.46166916640485,272.6078198392335,0.42088788747787476,0.4611881375312805,-1.9306013584136963,109.64424641927083
4,0.0009990133642141358,100.78967251984969,119.80320739746094,113.75722757975261,101.28540802001953,120.3031997680664,114.2572250366211,51.432861328125,37.290191650390625,57.39898681640625,0.5940894484519958,0.46266892552375793,0.4761645495891571,23307.173828125,36260.16015625,37446.42578125,152.6668720715958,190.42100765474905,193.51078983160087,0.5548917055130005,0.27766692638397217,-0.4766937494277954,109.64424641927083
5,0.000998458666866564,91.46040045696756,96.30281575520833,128.1352081298828,91.96040344238281,96.80281829833984,128.608154296875,47.985015869140625,22.055694580078125,62.881683349609375,0.5491777658462524,0.41787537932395935,0.5807612538337708,19906.720703125,24391.564453125,59319.65625,141.09117868642605,156.17798965643334,243.55626916587468,0.6198318004608154,0.5140993595123291,-1.3392612934112549,96.30281575520833
6,0.00099778098230154,85.69451672097911,113.100830078125,134.9006144205729,86.19451904296875,113.56277465820312,135.37889099121094,48.5352783203125,80.82586669921875,84.08035278320312,0.4728086590766907,0.40121695399284363,0.5329708456993103,16409.44921875,20897.40234375,48765.6875,128.09937243698738,144.55933848683037,220.82954399264605,0.686620831489563,0.5837060809135437,-0.9230670928955078,96.30281575520833
7,0.0009969804777275899,80.88711581022844,105.34640502929688,107.51234436035156,81.38712310791016,105.8464126586914,108.01233673095703,53.99195861816406,41.911468505859375,54.206817626953125,0.4129948019981384,0.40253040194511414,0.39236679673194885,12555.8681640625,27860.595703125,27620.490234375,112.05297034912773,166.9149355304222,166.19413417559298,0.7602145075798035,0.44499337673187256,-0.0892096757888794,96.30281575520833
8,0.000996057350657239,65.45920197860055,107.27306111653645,110.46970621744792,65.95514678955078,107.7730484008789,110.9697036743164,36.244293212890625,50.685882568359375,59.326934814453125,0.3406496047973633,0.38326457142829895,0.3861900269985199,9547.59375,23983.958984375,25733.466796875,97.7117892068301,154.86755303928257,160.41654153133646,0.8176649808883667,0.5222193002700806,-0.014795184135437012,96.30281575520833
9,0.0009950118288582787,61.93735371465268,114.28394063313802,125.7904764811198,62.433345794677734,114.783935546875,126.29047393798828,41.018524169921875,66.10659790039062,65.48757934570312,0.31111398339271545,0.3764227628707886,0.4213608205318451,8343.8046875,26602.333984375,30453.9921875,91.34442888047415,163.10221943424008,174.51072227086792,0.8406543135643005,0.47005903720855713,-0.20094835758209229,96.30281575520833
10,0.0009938441702975688,52.4006112140158,238.3148193359375,127.48289744059245,52.8976936340332,238.81483459472656,127.9828872680664,36.215362548828125,47.201385498046875,61.88690185546875,0.2513086795806885,0.5522027611732483,0.4535205364227295,6590.2548828125,243212.875,34651.85546875,81.18038484025867,493.166173819738,186.15008855423625,0.8741427063941956,-3.845005989074707,-0.3664904832839966,96.30281575520833
11,0.000992554663077387,53.65526000313137,207.59698486328125,129.5669377644857,54.15525817871094,208.0881805419922,130.0669403076172,34.94813537597656,100.20358276367188,75.4407958984375,0.2527296841144562,0.5032106041908264,0.4786132276058197,5784.40576171875,147945.546875,38340.48828125,76.0552809587786,384.63690264325913,195.8072733103906,0.8895323872566223,-1.9472005367279053,-0.5119509696960449,96.30281575520833
