epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,143.30164198203596,96.53643968370226,92.87304233860326,143.8001708984375,97.03645324707031,93.37303161621094,115.12115478515625,71.79194641113281,71.1988525390625,0.6411683559417725,0.4474725127220154,0.39758747816085815,34110.5234375,16789.400390625,14161.724609375,184.69034473274448,129.573918635754,119.0030445382596,0.39420634508132935,0.6159984469413757,0.7712443470954895,96.53643968370226
2,0.0009997532801828658,76.16114929041912,83.61470709906683,97.12398322852883,76.66016387939453,84.11470794677734,97.62398529052734,62.99169921875,50.39939880371094,87.34075927734375,0.3222469091415405,0.30082231760025024,0.32163771986961365,9793.3828125,16259.736328125,16011.3720703125,98.96152187845537,127.51367114205833,126.53605047697869,0.8260721564292908,0.62811279296875,0.7413668632507324,83.61470709906683
3,0.0009994449374809851,63.41018102914607,74.83191341824002,97.09349946717958,63.91017532348633,75.31890106201172,97.59349822998047,47.94293212890625,52.73476028442383,83.81861877441406,0.23202936351299286,0.26281747221946716,0.3112974166870117,6678.6669921875,13724.6845703125,16262.2109375,81.72311173828062,117.15239890976412,127.52337408294999,0.8813886642456055,0.6860935688018799,0.7373149991035461,74.83191341824002
4,0.0009990133642141358,53.3674378542556,83.87432437472873,71.90298049514358,53.86362838745117,84.36356353759766,72.40298461914062,41.76715087890625,64.03121948242188,41.771240234375,0.18670186400413513,0.3129781484603882,0.23633351922035217,5248.25439453125,13663.7568359375,10461.32421875,72.4448369073411,116.89207345212719,102.28061506830119,0.906792402267456,0.6874871253967285,0.831017255783081,74.83191341824002
5,0.000998458666866564,47.53759410373124,71.81002765231662,74.90776474411423,48.03593826293945,72.31002807617188,75.4024429321289,39.150482177734375,52.441566467285156,60.98895263671875,0.16933177411556244,0.26644858717918396,0.22091947495937347,3733.837646484375,12749.0966796875,12328.7783203125,61.10513600741246,112.91189786593573,111.03503195078794,0.9336880445480347,0.708406925201416,0.8008520603179932,71.81002765231662
6,0.00099778098230154,45.20222366962236,77.78768708970811,72.74148394610431,45.699581146240234,78.28768157958984,73.24148559570312,33.7677001953125,53.624977111816406,56.47113037109375,0.15566185116767883,0.2765091061592102,0.2436162531375885,4311.06494140625,13594.76171875,10106.2216796875,65.65870042428688,116.59657678830027,100.52970545907066,0.9234366416931152,0.6890652179718018,0.836753249168396,71.81002765231662
7,0.0009969804777275899,42.30837320544056,69.31255340576172,71.4775066891232,42.805015563964844,69.8053207397461,71.97750091552734,31.926612854003906,43.82817077636719,41.165313720703125,0.15038640797138214,0.22873622179031372,0.20739546418190002,3569.6611328125,12868.49609375,11667.599609375,59.74664118435864,113.43939392358371,108.01666357268678,0.9366037845611572,0.7056760787963867,0.811532199382782,69.31255340576172
8,0.000996057350657239,44.00499923286569,68.55185233222113,60.39306083885399,44.50387191772461,69.05184936523438,60.892921447753906,33.6094970703125,44.56391906738281,44.4332275390625,0.1570216715335846,0.21553713083267212,0.19223274290561676,3939.854736328125,13239.94140625,7253.82958984375,62.76826217387355,115.06494429777473,85.16941698663759,0.9300292134284973,0.6971805095672607,0.8828282356262207,68.55185233222113
9,0.0009950118288582787,40.673502446859565,72.09170023600261,78.13539267875053,41.169715881347656,72.58364868164062,78.63539123535156,31.909942626953125,52.60212707519531,53.104736328125,0.14486142992973328,0.23531757295131683,0.2118387371301651,3242.66162109375,14858.7080078125,11635.1044921875,56.94437304153721,121.89630022200222,107.86614154676852,0.9424111843109131,0.6601566076278687,0.8120570778846741,68.55185233222113
10,0.0009938441702975688,39.31962377017306,62.81898413764106,64.6559545156118,39.816715240478516,63.31898498535156,65.15595245361328,29.260948181152344,36.59019470214844,39.6170654296875,0.13506323099136353,0.23149365186691284,0.21046337485313416,2912.154541015625,11241.556640625,8395.5654296875,53.964382151708406,106.0262073292495,91.62731814086615,0.948280930519104,0.7428869009017944,0.8643856644630432,62.81898413764106
