epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,148.79679563856615,86.33967420789931,79.42227492461333,149.29652404785156,86.83966827392578,79.92012786865234,123.0968017578125,76.50544738769531,61.093292236328125,0.6916747093200684,0.3726907968521118,0.23731379210948944,36125.59375,12038.7548828125,11157.1650390625,190.06734004031307,109.72125993996104,105.62748240426116,0.3637848496437073,0.7667464017868042,0.7860885858535767,86.33967420789931
2,0.0009997532801828658,82.74136095604126,74.61102973090277,59.851285367398646,83.24136352539062,75.11103057861328,60.35128402709961,58.74932861328125,58.02927780151367,40.979644775390625,0.35878825187683105,0.2953296899795532,0.14393842220306396,12474.392578125,9303.6748046875,7475.744140625,111.68882029158065,96.45555870289436,86.46238569820405,0.7803109288215637,0.8197392225265503,0.8566708564758301,74.61102973090277
3,0.0009994449374809851,64.44139162043935,77.56911044650607,65.06498965701542,64.93791198730469,78.06912231445312,65.5634536743164,47.62432861328125,63.522064208984375,40.791839599609375,0.2802393138408661,0.25030675530433655,0.13251852989196777,7506.7080078125,10128.52734375,8377.1572265625,86.6412604237294,100.64058497321048,91.52681151751382,0.8677978515625,0.8037574887275696,0.8393884301185608,74.61102973090277
4,0.0009990133642141358,57.17568350985288,66.91951582166884,59.5524740476866,57.67519760131836,67.41162109375,60.051368713378906,45.89801025390625,59.66705322265625,44.75860595703125,0.22523561120033264,0.26334482431411743,0.16245503723621368,6526.03564453125,6956.2998046875,6560.00341796875,80.7838823313862,83.40443516197145,80.9938480254442,0.8850686550140381,0.8652201294898987,0.8742279410362244,66.91951582166884
5,0.000998458666866564,46.702778885045,61.4619140625,49.435229404552565,47.19708251953125,61.9619140625,49.93523406982422,36.5384521484375,51.762969970703125,32.41748046875,0.1873520016670227,0.24263770878314972,0.13070279359817505,4557.1865234375,6037.8974609375,5638.8759765625,67.5069368542041,77.70390891671731,75.09244953097814,0.9197424650192261,0.8830143809318542,0.8918883204460144,61.4619140625
6,0.00099778098230154,43.57139285897062,52.006368001302086,46.45892658749142,44.06903076171875,52.50629425048828,46.958927154541016,34.092620849609375,43.79841613769531,32.72235107421875,0.16599266231060028,0.21874243021011353,0.1335289180278778,3617.680908203125,4583.72265625,4372.58642578125,60.147160433416346,67.70319531787256,66.12553535345668,0.9362882971763611,0.9111893177032471,0.9161663055419922,52.006368001302086
7,0.0009969804777275899,44.59637571773988,64.67323472764757,52.13139595856538,45.09322738647461,65.17056274414062,52.6296501159668,32.31256103515625,60.26011657714844,33.12506103515625,0.15880577266216278,0.25267207622528076,0.12533704936504364,3715.8505859375,6819.748046875,5937.87646484375,60.95777707509929,82.58176582560462,77.05761782487018,0.9345594048500061,0.8678658604621887,0.8861557245254517,52.006368001302086
8,0.000996057350657239,38.7280475446039,56.701697455512154,62.0593427709631,39.22338104248047,57.20029067993164,62.559234619140625,28.02374267578125,42.612762451171875,46.28764343261719,0.1384885311126709,0.20450451970100403,0.15484796464443207,2833.244140625,5343.70556640625,6705.03369140625,53.228226916035815,73.10065366606683,81.88427010974848,0.9501031637191772,0.896464467048645,0.8714473247528076,52.006368001302086
9,0.0009950118288582787,39.84561359104012,58.752744886610245,52.417102710620775,40.34450912475586,59.25274658203125,52.9171028137207,31.6934814453125,49.0934944152832,43.5491943359375,0.14041636884212494,0.19786757230758667,0.1330794394016266,2830.12939453125,5396.486328125,4531.896484375,53.198960464761434,73.46078088425823,67.3193618833022,0.9501579999923706,0.8954418897628784,0.9131119251251221,52.006368001302086
10,0.0009938441702975688,39.699903953526025,65.30807240804036,52.52817427145468,40.19953536987305,65.80807495117188,53.019325256347656,31.29876708984375,56.97251892089844,42.93487548828125,0.14184308052062988,0.2027820646762848,0.1339668333530426,2834.999755859375,7321.29150390625,4790.85595703125,53.24471575526885,85.56454583474542,69.21600939834114,0.9500722289085388,0.8581483364105225,0.9081470370292664,52.006368001302086
11,0.000992554663077387,36.53728802998861,65.04331885443793,54.88787511877111,37.03651428222656,65.54331970214844,55.380821228027344,29.53265380859375,56.59043884277344,53.026607513427734,0.12454800307750702,0.20918980240821838,0.15425504744052887,2323.2236328125,6562.4521484375,5468.8251953125,48.19983021559827,81.00896338330408,73.95150570010391,0.95908522605896,0.8728510141372681,0.8951486349105835,52.006368001302086
12,0.0009911436253643444,35.11259334603536,55.48056835598416,45.60334087062527,35.61185836791992,55.97890090942383,46.09590148925781,30.904647827148438,43.32684326171875,31.908447265625,0.1292026787996292,0.19962570071220398,0.10639676451683044,2077.26904296875,5633.4677734375,5603.15478515625,45.577067072912335,75.05643059350412,74.85422356257695,0.9634168148040771,0.890850305557251,0.8925731778144836,52.006368001302086
13,0.000989611405310883,32.21378975635542,49.85628763834635,43.83915576419315,32.70912170410156,50.35628890991211,44.33915710449219,25.737258911132812,39.83233642578125,36.8193359375,0.11425542831420898,0.1707625687122345,0.10729451477527618,1840.0352783203125,3755.818603515625,3929.985107421875,42.895632392124874,61.28473385367375,62.68959329443664,0.9675947427749634,0.927230179309845,0.924652099609375,49.85628763834635
14,0.0009879583809693738,34.247679195862865,53.32199181450738,42.88422455658784,34.74326705932617,53.821990966796875,43.38422393798828,27.44580078125,45.61241149902344,34.220458984375,0.12416970729827881,0.1996481716632843,0.09132318198680878,2553.159912109375,4562.6025390625,3684.85009765625,50.528802797111425,67.54703945446091,60.702966135570755,0.9550358057022095,0.9115985631942749,0.9293519854545593,49.85628763834635
