epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,143.3016375512192,96.53642400105794,92.87301264582453,143.80018615722656,97.03642272949219,93.37301635742188,115.12118530273438,71.7918472290039,71.19879150390625,0.6411683559417725,0.4474725127220154,0.39758729934692383,34110.5234375,16789.3984375,14161.7119140625,184.69034473274448,129.57391109903259,119.00299119796317,0.39420634508132935,0.6159985065460205,0.7712445259094238,96.53642400105794
2,0.0009997532801828658,76.17807845807157,83.59457567003038,95.7507470620645,76.67657470703125,84.09457397460938,96.2503662109375,62.991851806640625,46.87934112548828,83.2486572265625,0.32215964794158936,0.3025757074356079,0.31985387206077576,9803.4072265625,16209.671875,15579.734375,99.01215696348858,127.3172096576107,124.81880617519141,0.8258941173553467,0.6292577981948853,0.748339056968689,83.59457567003038
3,0.0009994449374809851,65.47702831910648,77.84494103325738,96.7313137569943,65.97539520263672,78.34494018554688,97.22259521484375,55.35015869140625,62.56269073486328,65.3934326171875,0.23830631375312805,0.2875846326351166,0.30433908104896545,6839.380859375,12836.7255859375,17134.580078125,82.70054932934242,113.29927442811582,130.8991217622372,0.8785344362258911,0.7064027190208435,0.7232235670089722,77.84494103325738
4,0.0009990133642141358,55.78424027695279,75.73368072509766,72.2602737014358,56.282649993896484,76.23368072509766,72.74391174316406,44.3687744140625,59.11199951171875,53.104339599609375,0.20631583034992218,0.2504065930843353,0.2332913726568222,5352.71337890625,13402.373046875,12680.771484375,73.162240116786,115.76861857548012,112.60893163677116,0.9049372673034668,0.6934654116630554,0.7951663136482239,75.73368072509766
5,0.000998458666866564,46.901307751632636,68.86532550387912,71.4355472873997,47.39935302734375,69.36532592773438,71.93555450439453,38.3515625,47.49220275878906,59.388671875,0.1595533937215805,0.2998974621295929,0.2339250147342682,3742.881103515625,12199.8515625,9933.06640625,61.17909041098621,110.45293822483855,99.66477013594121,0.9335274696350098,0.7209690809249878,0.839550256729126,68.86532550387912
6,0.00099778098230154,48.56076259547493,65.21354081895616,74.22425512365393,49.05623245239258,65.71353912353516,74.72425079345703,38.847625732421875,46.31913757324219,50.46844482421875,0.1714908629655838,0.2638080418109894,0.25201624631881714,4993.548828125,11031.169921875,10475.5625,70.66504672131053,105.02937647094264,102.35019540772748,0.91131591796875,0.7476987838745117,0.8307873010635376,65.21354081895616
7,0.0009969804777275899,42.084130277338716,70.92869440714519,75.7555129592483,42.58112335205078,71.42869567871094,76.2555160522461,32.81996154785156,47.7176513671875,47.0377197265625,0.1564178317785263,0.2331509292125702,0.20795239508152008,3403.823974609375,12633.078125,12249.7021484375,58.342300045587635,112.39696670729153,110.67837254151102,0.9395490288734436,0.7110604643821716,0.8021294474601746,65.21354081895616
8,0.000996057350657239,40.82366350835951,62.80175802442763,72.04250067633552,41.32159423828125,63.30175018310547,72.5425033569336,33.49554443359375,33.02006530761719,50.391265869140625,0.13658486306667328,0.2029838263988495,0.20116691291332245,2979.71337890625,12837.5576171875,11114.0029296875,54.58675094660104,113.30294619817924,105.42297154646846,0.9470810890197754,0.7063837051391602,0.8204745054244995,62.80175802442763
9,0.0009950118288582787,38.18071687836008,69.75791634453668,75.08594616039379,38.678070068359375,70.25679016113281,75.58555603027344,28.0357666015625,50.265655517578125,58.888519287109375,0.1253303736448288,0.2042568176984787,0.18862946331501007,2742.494140625,11959.41796875,10711.9833984375,52.36882794778779,109.35912384776132,103.49871206173292,0.9512940645217896,0.7264682054519653,0.8269683122634888,62.80175802442763
10,0.0009938441702975688,37.73379108258539,59.212530348036026,66.15499527389939,38.23098373413086,59.71253204345703,66.65499877929688,30.83349609375,32.030670166015625,48.994171142578125,0.1262562870979309,0.19773976504802704,0.17719197273254395,2595.262451171875,11629.7490234375,8958.32421875,50.94371846628272,107.84131408434108,94.64842428033337,0.9539088606834412,0.7340083122253418,0.8552953600883484,59.212530348036026
11,0.000992554663077387,32.48563200173919,66.99545076158311,67.57242429578626,32.98037338256836,67.49320983886719,68.07241821289062,27.03057861328125,47.54695129394531,42.588134765625,0.11158281564712524,0.24343882501125336,0.17245317995548248,1837.7117919921875,11401.734375,9770.9072265625,42.86854081948891,106.77890416650659,98.84789945447753,0.9673627614974976,0.7392233610153198,0.8421696424484253,59.212530348036026
12,0.0009911436253643444,33.93303903927099,65.0063213772244,59.8359185296136,34.43041229248047,65.50631713867188,60.329959869384766,25.3614501953125,41.71570587158203,33.30987548828125,0.12496084719896317,0.22563587129116058,0.16390161216259003,2164.525390625,11966.2509765625,8048.42236328125,46.52446013254748,109.39036052853332,89.71299996812753,0.9615586400032043,0.7263119220733643,0.8699930906295776,59.212530348036026
13,0.000989611405310883,32.44781384025652,67.5155881245931,64.45121662036793,32.94758987426758,68.015380859375,64.95121002197266,26.82720947265625,45.307945251464844,42.738677978515625,0.11537380516529083,0.21386194229125977,0.177570641040802,1970.2513427734375,12448.5419921875,8630.0166015625,44.387513365511225,111.5730343415805,92.89788265381779,0.9650088548660278,0.7152811288833618,0.8605985641479492,59.212530348036026
14,0.0009879583809693738,38.30108233579655,70.2730229695638,72.39940035020983,38.79668045043945,70.77301788330078,72.89939880371094,29.90424346923828,50.37504577636719,54.879486083984375,0.1305789202451706,0.24497072398662567,0.2063269168138504,2699.7138671875,11990.9677734375,11015.4443359375,51.95877083984474,109.50327745523191,104.9544869738188,0.9520537853240967,0.7257466316223145,0.8220664858818054,59.212530348036026
15,0.0009861849601988384,35.57199275616518,70.46824010213216,59.05761924949852,36.069522857666016,70.9682388305664,59.5576171875,29.534210205078125,57.722137451171875,30.323150634765625,0.11677243560552597,0.2542261779308319,0.14576664566993713,2354.492431640625,12402.10546875,8460.9580078125,48.52311234494986,111.36474068909783,91.98346594803057,0.9581848382949829,0.7163431644439697,0.8633293509483337,59.212530348036026
16,0.0009842915805643156,30.252694224983557,68.92112689548068,54.17122773866396,30.7471981048584,69.42112731933594,54.66746520996094,24.27349853515625,41.597564697265625,29.88519287109375,0.09860872477293015,0.26181554794311523,0.12425614893436432,1717.46826171875,12749.703125,7757.513671875,41.442348651093,112.91458331411404,88.07674875854013,0.9694982171058655,0.7083930969238281,0.8746921420097351,59.212530348036026
17,0.000982278709228899,26.976800348340852,67.46616787380643,62.229512085785736,27.474712371826172,67.95921325683594,62.72951889038086,22.0543212890625,50.73625946044922,38.1669921875,0.08644884079694748,0.22793708741664886,0.157768115401268,1282.7308349609375,12179.9306640625,8396.4345703125,35.81523188478524,110.3627231634962,91.63206082104942,0.9772190451622009,0.7214246988296509,0.8643715977668762,59.212530348036026
18,0.0009801468428384716,32.57595418818628,63.93774286905924,63.75598123911265,33.06572341918945,64.437744140625,64.2559814453125,25.978378295898438,38.828887939453125,42.3704833984375,0.1065087616443634,0.20590513944625854,0.162558913230896,2011.11767578125,11571.5146484375,9149.171875,44.84548668239927,107.57097493486567,95.65130357188029,0.9642831087112427,0.7353402376174927,0.8522125482559204,59.212530348036026
19,0.000977896507399165,29.390969581210737,63.890325758192276,61.87943907041807,29.88896369934082,64.39032745361328,62.37944030761719,22.47613525390625,47.27001953125,34.9927978515625,0.10114802420139313,0.23106224834918976,0.1423538625240326,1459.0576171875,10611.9140625,7947.0078125,38.19761271581642,103.01414496320396,89.14599156720396,0.9740875363349915,0.757287859916687,0.8716312646865845,59.212530348036026
20,0.0009755282581475768,33.94768353753893,67.9062008327908,58.70755107982738,34.4476318359375,68.40619659423828,59.19537353515625,25.738449096679688,49.43135070800781,34.439117431640625,0.11276572942733765,0.23178251087665558,0.1438342183828354,2729.8134765625,11191.9072265625,7762.54833984375,52.24761694625411,105.79181077267985,88.10532526382131,0.951519250869751,0.7440224885940552,0.8746108412742615,59.212530348036026
21,0.0009730426794137727,28.451343267643985,61.59682930840386,67.17748281118033,28.94025230407715,62.09514617919922,67.67282104492188,22.73651123046875,38.67781066894531,42.16912841796875,0.09306409955024719,0.19407980144023895,0.15738390386104584,1534.69384765625,11414.17578125,10741.8095703125,39.17516876359628,106.83714607405985,103.64270148115834,0.9727442264556885,0.7389388084411621,0.8264865875244141,59.212530348036026
