epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,143.4084301715864,80.88397979736328,63.89281381143106,143.90843200683594,81.38397979736328,64.39281463623047,118.01605224609375,56.17820739746094,43.766937255859375,0.6481323838233948,0.3511768579483032,0.3866283893585205,33502.6953125,11220.0087890625,7661.37158203125,183.03741506178457,105.92454290230617,87.52926129033222,0.4225239157676697,0.7592111825942993,0.8376816511154175,80.88397979736328
2,0.0009997532801828658,85.14011666209427,76.14995998806424,178.17457415606523,85.6400146484375,76.64995574951172,178.67117309570312,68.2313232421875,79.65840148925781,52.27728271484375,0.33949288725852966,0.26272663474082947,0.8849411010742188,12032.751953125,8839.8603515625,498995.125,109.69390116649603,94.0205315426503,706.3958698916636,0.7925949692726135,0.8102907538414001,-9.572007179260254,76.14995998806424
3,0.0009994449374809851,78.59931104207776,59.49490229288737,63.388604241448476,79.09712219238281,59.99490737915039,63.88859939575195,56.397308349609375,49.18585205078125,52.0740966796875,0.29731041193008423,0.20064754784107208,0.2846471071243286,37568.44921875,6223.13720703125,6342.7861328125,193.82582185753785,78.88686333624408,79.64161056139247,0.3524436950683594,0.866447389125824,0.8656179904937744,59.49490229288737
4,0.0009990133642141358,57.03543817054775,51.25638665093316,46.682411193847656,57.534820556640625,51.75638961791992,47.182411193847656,46.109619140625,37.42362976074219,38.303192138671875,0.19632010161876678,0.16633744537830353,0.241925448179245,6681.31640625,5849.552734375,3934.849609375,81.73931982987135,76.48236878114459,62.72837961700429,0.8848360776901245,0.874464750289917,0.9166339635848999,51.25638665093316
5,0.000998458666866564,53.10118493673318,56.18812561035156,39.69385786314268,53.59851837158203,56.68812561035156,40.19329833984375,39.9896240234375,39.710784912109375,28.8997802734375,0.21154476702213287,0.17380067706108093,0.18293963372707367,5801.61328125,7829.52587890625,2583.190185546875,76.16832203252216,88.48460814687631,50.82509405349758,0.8999993205070496,0.8319731950759888,0.9452710151672363,51.25638665093316
6,0.00099778098230154,49.637156817511595,62.103043450249565,51.11066426457585,50.137149810791016,62.59916305541992,51.61066436767578,36.287811279296875,43.9923095703125,48.22406005859375,0.18222016096115112,0.17325012385845184,0.1848137229681015,4766.07763671875,8640.33984375,4050.445068359375,69.03678466382071,92.95342835931335,63.643106998003915,0.917848527431488,0.8145726323127747,0.9141848683357239,51.25638665093316
7,0.0009969804777275899,42.794759383316304,62.355820973714195,45.65953620704445,43.29343032836914,62.85581970214844,46.1463623046875,32.93951416015625,51.241905212402344,47.85845947265625,0.15735803544521332,0.18222925066947937,0.15897807478904724,3737.7177734375,8263.7783203125,3286.71337890625,61.136877360865434,90.90532613830996,57.32986463359433,0.9355740547180176,0.8226538896560669,0.9303657412528992,51.25638665093316
8,0.000996057350657239,46.55259285104234,58.46546512179904,51.71181003467457,47.05087661743164,58.96487045288086,52.21180725097656,38.871246337890625,43.61085510253906,42.2149658203125,0.16499662399291992,0.15664519369602203,0.19899918138980865,4079.280517578125,6897.447265625,4243.77197265625,63.869245475252995,83.05087155247078,65.14423975038967,0.9296866655349731,0.851976215839386,0.9100888967514038,51.25638665093316
9,0.0009950118288582787,39.14972585173407,55.93179151746962,40.54507250399203,39.64711380004883,56.43178939819336,41.04507064819336,28.04791259765625,39.571502685546875,40.07463836669922,0.12661676108837128,0.15966558456420898,0.20183278620243073,2994.642822265625,7639.3662109375,2947.58447265625,54.72332978050244,87.40346795715546,54.29166117053566,0.9483821988105774,0.8360541462898254,0.9375507235527039,51.25638665093316
10,0.0009938441702975688,38.66466645440695,47.35703913370768,37.73506886250264,39.16084289550781,47.85704040527344,38.23490905761719,31.4462890625,25.104644775390625,29.65533447265625,0.1338120549917221,0.12798132002353668,0.1939174085855484,2879.8740234375,6470.28955078125,2679.984375,53.66445772983735,80.43811006470285,51.7685655103558,0.9503604769706726,0.8611433506011963,0.9432202577590942,47.35703913370768
