epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,491.999870434142,278.35845947265625,455.6317138671875,492.4998779296875,278.8584289550781,456.1317443847656,523.3992919921875,229.38714599609375,461.0560607910156,2.271242380142212,1.0259120464324951,2.4364449977874756,291760.59375,106749.1484375,276848.4375,540.1486774490891,326.7248818769394,526.1638884416147,-0.5258973836898804,-0.4750710725784302,-1.7195594310760498,278.35845947265625
2,0.0009997532801828658,320.4685197796738,141.40304565429688,333.7418212890625,320.9685363769531,141.90304565429688,334.2417907714844,360.5361328125,49.0970458984375,363.47125244140625,1.5866649150848389,0.7109373211860657,1.8333820104599,133121.4375,40505.375,145009.546875,364.85810598094156,201.25947182679377,380.8011907478757,0.30377960205078125,0.4402924180030823,-0.4244692325592041,141.40304565429688
3,0.0009994449374809851,238.5606967859101,137.61497497558594,189.3585205078125,239.06068420410156,138.11497497558594,189.85850524902344,264.3656005859375,141.72076416015625,165.7176513671875,1.1928271055221558,0.5473064184188843,1.2834011316299438,73880.09375,25696.205078125,54846.53125,271.80892875326964,160.30035894571478,234.19336295036203,0.6136097311973572,0.6449271440505981,0.4612272381782532,137.61497497558594
4,0.0009990133642141358,246.2977873149671,120.54216003417969,215.00213623046875,246.7978057861328,121.04216003417969,215.50216674804688,222.29571533203125,113.3272705078125,242.27874755859375,0.8706484436988831,0.30003148317337036,1.0176485776901245,94685.53125,22508.044921875,67254.03125,307.7101416105748,150.02681400961296,259.3338220325301,0.5047980546951294,0.6889814138412476,0.33934485912323,120.54216003417969
5,0.000998458666866564,196.67992521587172,50.68511199951172,160.51446533203125,197.179931640625,51.18511199951172,161.0144500732422,122.00590515136719,49.55792236328125,147.27078247070312,0.5310765504837036,0.1329662799835205,0.9518318176269531,66053.4296875,4445.33251953125,36315.3359375,257.00861792457465,66.67332689712768,190.56583098105494,0.6545429229736328,0.9385738968849182,0.6432642936706543,50.68511199951172
6,0.00099778098230154,92.06574664199562,79.18049621582031,157.66061401367188,92.56575012207031,79.68048858642578,158.16061401367188,68.2210693359375,75.3223876953125,156.94317626953125,0.36059415340423584,0.2259790599346161,0.9678894281387329,15199.60546875,8104.2265625,43000.21484375,123.28668001349537,90.02347784050558,207.36493156691176,0.9205065965652466,0.8880149126052856,0.57759690284729,50.68511199951172
7,0.0009969804777275899,85.9486592610677,56.35802459716797,131.3887481689453,86.44865417480469,56.85802459716797,131.88873291015625,66.4071044921875,54.81787109375,118.55999755859375,0.3020615875720978,0.2187618464231491,0.7737280130386353,12860.609375,4095.358154296875,27911.435546875,113.4046267795102,63.99498538398829,167.06715879213067,0.9327394962310791,0.9434099197387695,0.7258181571960449,50.68511199951172
8,0.000996057350657239,84.12783331620066,44.07658004760742,116.39332580566406,84.62783813476562,44.576576232910156,116.89332580566406,51.30937194824219,43.3570556640625,92.84690856933594,0.3041006922721863,0.1464138925075531,0.7371788620948792,15064.830078125,2560.582763671875,28091.447265625,122.7388694673574,50.60220117417695,167.6050335330804,0.9212114810943604,0.9646176099777222,0.7240498661994934,44.07658004760742
9,0.0009950118288582787,74.07580459327029,42.11067581176758,113.68626403808594,74.57369995117188,42.61067581176758,114.18626403808594,63.1112060546875,37.55436706542969,63.924224853515625,0.2592950761318207,0.1183101013302803,0.6703912615776062,9905.4482421875,2230.36865234375,28500.455078125,99.52611839204572,47.22677897489675,168.82077798104416,0.9481948614120483,0.9691805243492126,0.7200320959091187,42.11067581176758
10,0.0009938441702975688,56.67231670178865,51.53954315185547,93.91133117675781,57.17155456542969,52.03954315185547,94.41133880615234,40.014404296875,33.10015869140625,44.81390380859375,0.2058570235967636,0.12397167831659317,0.6081396341323853,6384.3154296875,4768.2822265625,25612.216796875,79.90191130184246,69.05274959451289,160.0381729365685,0.9666102528572083,0.9341113567352295,0.7484040260314941,42.11067581176758
11,0.000992554663077387,62.15048431931881,58.4802360534668,102.48263549804688,62.65048599243164,58.98023223876953,102.98263549804688,42.8319091796875,34.73323059082031,49.37420654296875,0.22647376358509064,0.14002689719200134,0.5751813650131226,8112.89892578125,5950.61865234375,27015.97265625,90.07163219227932,77.14025312600258,164.36536331067444,0.9575698375701904,0.9177737236022949,0.7346145510673523,42.11067581176758
12,0.0009911436253643444,67.4555444550096,62.90085983276367,135.20608520507812,67.9555435180664,63.400856018066406,135.70608520507812,45.43699645996094,51.36724853515625,107.46959686279297,0.24936120212078094,0.12791888415813446,0.6301147937774658,8549.0986328125,6402.09619140625,33970.19140625,92.4613358805317,80.01310012370631,184.31004152310857,0.9552885293960571,0.9115351438522339,0.6663013696670532,42.11067581176758
