epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,439.4552580180921,264.853759765625,260.98248291015625,439.95526123046875,265.3537292480469,261.4824523925781,465.1365966796875,199.46331787109375,260.59234619140625,2.347050666809082,0.8708354234695435,1.007460117340088,254687.453125,88643.9921875,95802.96875,504.6656845130249,297.7314094742105,309.5205465716291,-0.4151216745376587,0.3682556748390198,0.14821362495422363,264.853759765625
2,0.0009997532801828658,307.825753195244,142.60934448242188,221.5468292236328,308.3257751464844,143.10934448242188,222.04681396484375,322.5959777832031,114.484130859375,226.491943359375,1.6628884077072144,0.4961453974246979,0.7070596814155579,126892.0625,31091.498046875,70795.0546875,356.2191214687948,176.32781416122359,266.0734009394776,0.29494887590408325,0.7784184217453003,0.37055957317352295,142.60934448242188
3,0.0009994449374809851,211.03972130491022,109.05052185058594,191.58218383789062,211.5397186279297,109.5505142211914,192.08218383789062,195.01382446289062,122.79736328125,157.3914794921875,1.1244943141937256,0.2004081904888153,0.36169666051864624,59065.73828125,15616.189453125,50986.40625,243.03443846757602,124.96475284305171,225.80169673853206,0.6718126535415649,0.888707160949707,0.5466786623001099,109.05052185058594
4,0.0009990133642141358,148.40360621402138,169.44810485839844,255.442626953125,148.9036102294922,169.94810485839844,255.93856811523438,130.06085205078125,154.3635711669922,251.34027099609375,0.6650822162628174,0.35555967688560486,0.5091981291770935,32269.833984375,36011.54296875,88974.09375,179.63806385166535,189.76707556567868,298.2852556698034,0.8206989169120789,0.7433544397354126,0.20892930030822754,109.05052185058594
5,0.000998458666866564,135.834083958676,172.79046630859375,163.24813842773438,136.32989501953125,173.2904510498047,163.74542236328125,101.27008056640625,153.1607666015625,130.91668701171875,0.5238844156265259,0.2902817726135254,0.34828948974609375,31218.859375,49669.05078125,54272.5078125,176.6885943545876,222.86554417686463,232.96460635147992,0.8265384435653687,0.6460206508636475,0.517461895942688,109.05052185058594
6,0.00099778098230154,132.66670682137473,93.18623352050781,202.8809814453125,133.1667022705078,93.68622589111328,203.38096618652344,96.33894348144531,59.83782958984375,163.80767822265625,0.5373511910438538,0.12476471811532974,0.36496689915657043,35319.07421875,14440.990234375,64541.73828125,187.93369633663357,120.17067127371386,254.05066085576317,0.8037564158439636,0.8970825672149658,0.42615795135498047,93.18623352050781
7,0.0009969804777275899,106.95624635930648,82.28286743164062,186.6072540283203,107.45625305175781,82.7828598022461,187.10726928710938,78.99420166015625,76.3074951171875,131.82809448242188,0.3478015959262848,0.1326332837343216,0.3840038478374481,20372.822265625,9096.2080078125,54405.33984375,142.7333957615561,95.3740426311714,233.2495227085149,0.8868023753166199,0.935173511505127,0.5162808895111084,82.28286743164062
8,0.000996057350657239,90.80766912092243,98.4820785522461,154.4115447998047,91.30512237548828,98.97776794433594,154.9115447998047,65.903076171875,104.18316650390625,106.6100845336914,0.33086690306663513,0.1284988820552826,0.34871652722358704,15585.56640625,16711.017578125,46098.49609375,124.84216597868686,129.2711010942701,214.7056033124194,0.9134018421173096,0.8809046149253845,0.590137243270874,82.28286743164062
9,0.0009950118288582787,75.77933006955867,76.00752258300781,154.80206298828125,76.27180480957031,76.50751495361328,155.30206298828125,50.09027862548828,39.8572998046875,108.0897216796875,0.28442445397377014,0.11592624336481094,0.3221319019794464,12149.248046875,10414.443359375,46393.58203125,110.2236274438244,102.05118009790479,215.391694434233,0.9324950575828552,0.9257788062095642,0.5875135660171509,76.00752258300781
10,0.0009938441702975688,96.55560784590871,74.65753173828125,164.7475128173828,97.05561065673828,75.15753173828125,165.24749755859375,51.07061767578125,33.11932373046875,104.26837158203125,0.3464787006378174,0.09066255390644073,0.34141549468040466,22200.685546875,12598.310546875,59607.61328125,148.99894478443463,112.24219592860342,244.14670442430716,0.8766462206840515,0.910214900970459,0.4700273275375366,74.65753173828125
11,0.000992554663077387,109.75549798262746,75.02532196044922,189.39334106445312,110.25550079345703,75.52532196044922,189.89334106445312,83.63238525390625,65.35760498046875,133.25057983398438,0.33819034695625305,0.09361942112445831,0.33784806728363037,21580.681640625,11074.2724609375,69374.3671875,146.90364747216114,105.23436920007408,263.3901425404907,0.88009113073349,0.9210763573646545,0.38319092988967896,74.65753173828125
12,0.0009911436253643444,88.6687943307977,106.45459747314453,157.27804565429688,89.16879272460938,106.95458984375,157.77804565429688,61.4095458984375,108.3289794921875,101.99000549316406,0.3295477032661438,0.2587822377681732,0.3581659495830536,15225.5537109375,13291.9013671875,70766.984375,123.39187052207896,115.29050857372215,266.02064652015264,0.9154021739959717,0.9052718281745911,0.3708091378211975,74.65753173828125
