epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,563.3331502897037,396.8968089033918,321.2876136416481,563.8331298828125,397.3968200683594,321.7876281738281,468.09576416015625,345.5531005859375,297.4125061035156,1.8323301076889038,1.075142502784729,1.2244499921798706,580324.125,271287.28125,149594.21875,761.7900793525733,520.8524563156058,386.77411851105035,0.46541619300842285,0.7441209554672241,0.8680524826049805,396.8968089033918
2,0.0009997532801828658,301.7450938123338,291.1215343940549,236.14628383091517,302.2450866699219,291.62152099609375,236.64627075195312,226.55557250976562,186.4791259765625,174.77642822265625,0.964324951171875,0.45541471242904663,0.7164440751075745,260013.328125,258553.1875,98613.1171875,509.9150204936113,508.48125580005404,314.0272554850932,0.7604805827140808,0.7561317682266235,0.9130196571350098,291.1215343940549
3,0.0009994449374809851,230.89852339446,330.8562339224466,222.854243687221,231.39637756347656,331.3562316894531,223.35423278808594,167.39093017578125,245.64523315429688,192.60728454589844,0.63114333152771,0.5672277808189392,0.7228007316589355,123753.8359375,261780.640625,82759.984375,351.78663410865965,511.6450338125056,287.6803510408731,0.8860002756118774,0.7530876398086548,0.9270026683807373,291.1215343940549
4,0.0009990133642141358,193.31077487562928,241.64902403296495,189.9129871186756,193.8096923828125,242.14903259277344,190.41299438476562,140.3345947265625,142.6304168701172,141.10992431640625,0.5184531807899475,0.31819719076156616,0.5047690272331238,92084.2421875,171942.171875,67445.3125,303.45385512051087,414.6591032100947,259.70235366665435,0.9151737093925476,0.8378235697746277,0.9405108094215393,241.64902403296495
5,0.000998458666866564,175.47130549932322,272.6586884289253,202.28980945405505,175.97113037109375,273.15869140625,202.7866668701172,127.79510498046875,192.7056884765625,166.60211181640625,0.39117130637168884,0.42349523305892944,0.5507784485816956,78484.5234375,196122.609375,68280.8828125,280.1508940508668,442.8573239486957,261.30610940523377,0.9277015328407288,0.815016508102417,0.9397737979888916,241.64902403296495
6,0.00099778098230154,157.60860241365287,210.3908840272485,196.3439737955729,158.1074981689453,210.890869140625,196.84393310546875,101.77693176269531,120.0244140625,176.01806640625,0.3680186867713928,0.2207612246274948,0.3358844816684723,71654.2265625,115045.84375,72235.703125,267.68307111675927,339.1840853430479,268.7670052759453,0.9339934587478638,0.8914883732795715,0.9362854957580566,210.3908840272485
7,0.0009969804777275899,153.6880635129101,211.93838724275915,195.8799765450614,154.18650817871094,212.4384002685547,196.37997436523438,98.8349609375,146.1002197265625,167.32080078125,0.31392568349838257,0.3070385158061981,0.44304585456848145,72529.390625,112242.8671875,67787.65625,269.3128118471158,335.0266663826926,260.36062730374573,0.9331872463226318,0.894132137298584,0.9402088522911072,210.3908840272485
8,0.000996057350657239,136.1056198537531,201.01346643959604,193.8393365769159,136.60504150390625,201.5074005126953,194.33932495117188,77.5919189453125,92.145263671875,141.20101928710938,0.31719937920570374,0.277677059173584,0.41998350620269775,68360.8203125,116241.671875,65581.46875,261.4590222434483,340.9423292508573,256.0887907543007,0.9370272755622864,0.8903604745864868,0.9421547651290894,201.01346643959604
9,0.0009950118288582787,131.16829048319065,197.3201740544017,207.28872971307663,131.6673583984375,197.82017517089844,207.7854766845703,86.72998046875,79.18698120117188,168.3894500732422,0.3048258125782013,0.2757367491722107,0.4116838872432709,55635.015625,115399.8515625,76716.734375,235.87076042824808,339.7055365496712,276.97785899779063,0.9487500786781311,0.8911544680595398,0.9323330521583557,197.3201740544017
10,0.0009938441702975688,140.0537338256836,208.4993807164634,197.48261006673178,140.55361938476562,208.99937438964844,197.98260498046875,78.877685546875,131.6429443359375,149.51507568359375,0.31597888469696045,0.3333760201931,0.39266395568847656,76991.4765625,127870.8203125,71508.375,277.473379916885,357.59029672587593,267.41049904594246,0.9290769100189209,0.8793918490409851,0.9369270205497742,197.3201740544017
