epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,563.3331280276406,396.8984404773247,321.2893444242932,563.8331298828125,397.3984375,321.7893371582031,468.095703125,345.5670471191406,297.41302490234375,1.8323301076889038,1.0751605033874512,1.22444748878479,580324.1875,271288.625,149595.921875,761.7901203743719,520.8537462666463,386.77632020975636,0.46541619300842285,0.7441197037696838,0.8680509924888611,396.8984404773247
2,0.0009997532801828658,304.0113484576843,287.0583079268293,232.5018078031994,304.5113525390625,287.55828857421875,233.00181579589844,226.648193359375,161.2012939453125,165.18434143066406,0.9874038696289062,0.5062165856361389,0.7013575434684753,262124.0625,258911.421875,97769.2578125,511.9805294149378,508.8333930423592,312.6807602211879,0.7585362195968628,0.7557939291000366,0.9137639999389648,287.0583079268293
3,0.0009994449374809851,223.03468058391908,321.5382943502287,228.83548118954613,223.5323486328125,322.0382995605469,229.33547973632812,154.44805908203125,224.37094116210938,187.9620361328125,0.5996312499046326,0.5572023987770081,0.745538055896759,126172.15625,263067.59375,81017.0625,355.2072018554804,512.9011539760853,284.63496359372294,0.8837725520133972,0.751873791217804,0.9285399913787842,287.0583079268293
4,0.0009990133642141358,194.9902534832708,280.5231367902058,233.33535984584265,195.49026489257812,281.0231018066406,233.8353729248047,140.34535217285156,176.0419921875,178.8535614013672,0.5061346888542175,0.35115107893943787,0.5694760680198669,106813.109375,184639.0625,99628.015625,326.8227491699438,429.6964771789501,315.63905909281885,0.9016057252883911,0.825847864151001,0.9121244549751282,280.5231367902058
5,0.000998458666866564,173.7167751694885,264.9570461366235,236.3697262718564,174.2148895263672,265.4570617675781,236.86972045898438,120.0260009765625,204.72216796875,177.7209014892578,0.38192012906074524,0.3822098970413208,0.6120119690895081,78843.0546875,176644.03125,95043.2890625,280.7900544668561,420.29041298844777,308.29091628281884,0.9273712635040283,0.8333888053894043,0.9161683917045593,264.9570461366235
6,0.00099778098230154,155.36615138648128,201.0466427686738,199.55465334937685,155.86524963378906,201.5464630126953,200.05465698242188,88.7947998046875,98.8060302734375,176.24435424804688,0.3716413974761963,0.2765014171600342,0.4274214804172516,73959.21875,127902.671875,72624.640625,271.9544424163724,357.63483034374605,269.4895927953434,0.93187016248703,0.8793618083000183,0.9359424114227295,201.0466427686738
7,0.0009969804777275899,136.62346178420046,236.03274163967225,203.0013929094587,137.1234588623047,236.53273010253906,203.5013885498047,82.14111328125,123.6331787109375,150.24276733398438,0.3407898545265198,0.3459945023059845,0.545253336429596,60733.55078125,205930.296875,70818.3046875,246.44177969908026,453.7954350530644,266.1170883041899,0.9440534114837646,0.8057658672332764,0.9375357031822205,201.0466427686738
8,0.000996057350657239,134.4999755117306,221.2263779058689,177.80936831519716,134.9986572265625,221.7215576171875,178.30935668945312,82.0338134765625,140.84933471679688,128.62088012695312,0.31019777059555054,0.28863054513931274,0.45671698451042175,55675.640625,151174.453125,59403.8984375,235.95686178833623,388.8115907801618,243.72914974926573,0.9487126469612122,0.8574117422103882,0.9476035833358765,201.0466427686738
9,0.0009950118288582787,120.26609282797955,206.40352872522865,173.2015112014044,120.7660903930664,206.90350341796875,173.70150756835938,77.14208984375,119.318115234375,137.33203125,0.32412034273147583,0.32190924882888794,0.4128269553184509,58400.7734375,104381.90625,53919.375,241.66251972016678,323.0818878396002,232.20545859217006,0.946202278137207,0.9015466570854187,0.9524411559104919,201.0466427686738
10,0.0009938441702975688,120.12218862608935,186.70973466082316,172.5552513485863,120.61882781982422,187.20973205566406,173.0552520751953,69.203369140625,116.60552978515625,123.51631164550781,0.30067774653434753,0.2256225049495697,0.381253182888031,58492.70703125,84652.4296875,56458.96484375,241.8526556216615,290.9509059747022,237.61095270157477,0.9461175799369812,0.9201555252075195,0.950201153755188,186.70973466082316
11,0.000992554663077387,114.05638999127328,205.07930997522865,183.168217250279,114.5538558959961,205.57931518554688,183.668212890625,72.0792236328125,87.6353759765625,132.82855224609375,0.28365710377693176,0.2637702524662018,0.49609264731407166,50473.16015625,104455.0,62843.4296875,224.6623247370373,323.1949875848943,250.68591840687822,0.9535050392150879,0.9014776945114136,0.9445698261260986,186.70973466082316
