epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,601.59088969593,482.1098960318216,361.64423697335377,602.0908813476562,482.60980224609375,362.1442565917969,527.863037109375,423.1493835449219,353.0616455078125,1.8710308074951172,1.9422414302825928,1.956087350845337,644157.625,358571.40625,250596.953125,802.594309100183,598.8083217942116,500.5965971967848,0.4131354093551636,0.709593653678894,0.6886372566223145,482.1098960318216
2,0.0009997532801828658,306.3952046774079,372.9683748570884,259.3734094528925,306.8951721191406,373.4683532714844,259.8734130859375,253.15658569335938,336.88446044921875,162.0543212890625,1.151761770248413,1.1977083683013916,1.0681493282318115,203508.6875,217736.46875,199860.671875,451.1193716745048,466.62240489500715,447.05779478161435,0.8145918846130371,0.8236556053161621,0.7516762614250183,372.9683748570884
3,0.0009994449374809851,254.80297999976253,305.367637076029,215.12727646600632,255.302978515625,305.86761474609375,215.6272735595703,190.29347229003906,264.70361328125,141.9119873046875,0.6987935304641724,0.9730751514434814,0.8329609632492065,145152.3125,165975.6875,173406.875,380.98859891078104,407.4011383145609,416.4215112118969,0.8677579164505005,0.8655766248703003,0.7845447063446045,305.367637076029
4,0.0009990133642141358,249.52434746182797,254.74440858422255,224.3673095703125,250.0243682861328,255.24440002441406,224.8609619140625,166.1981201171875,212.18896484375,134.41810607910156,0.5433770418167114,0.7997177839279175,0.6489105224609375,148440.40625,108330.765625,173286.625,385.2796468151413,329.13639365010977,416.27710121984853,0.8647622466087341,0.9122630953788757,0.7846940755844116,254.74440858422255
5,0.000998458666866564,204.84457044978274,241.0563815977515,195.32735406784784,205.3408966064453,241.55638122558594,195.82733154296875,144.26181030273438,170.2869110107422,108.7113037109375,0.40661969780921936,0.6123166680335999,0.5008782148361206,103760.15625,109927.375,119596.515625,322.11823333987167,331.5529746511106,345.82729161389216,0.9054685235023499,0.9109700322151184,0.8514032363891602,241.0563815977515
6,0.00099778098230154,180.57607076813022,245.83859029630335,156.37388683500745,181.07440185546875,246.33860778808594,156.86724853515625,116.7664794921875,189.4901123046875,108.0511474609375,0.39776813983917236,0.5652838349342346,0.40312695503234863,92024.9140625,116251.953125,44969.40625,303.3560845977875,340.9574066140813,212.05991193528305,0.916159987449646,0.9058477878570557,0.9441262483596802,241.0563815977515
7,0.0009969804777275899,228.73958780120572,277.3599198504192,242.09835960751488,229.23863220214844,277.8599548339844,242.59837341308594,122.99072265625,170.4761962890625,141.68621826171875,0.4313191771507263,0.6019276976585388,0.4990333020687103,631150.125,239486.25,277473.9375,794.449573604266,489.37332375191846,526.7579496315171,0.42498594522476196,0.8060405254364014,0.6552429795265198,241.0563815977515
8,0.000996057350657239,189.33418621770517,296.7088682593369,268.7872888474237,189.83302307128906,297.2088928222656,269.2776794433594,112.879150390625,225.78732299804688,144.95947265625,0.36170974373817444,0.6031628251075745,0.3800376355648041,114267.5390625,203775.734375,229678.859375,338.03481930490534,451.41525713582166,479.248223131813,0.8958957195281982,0.8349624276161194,0.7146276235580444,241.0563815977515
9,0.0009950118288582787,174.7618441248375,235.25870569740854,201.18026442754837,175.26185607910156,235.7529754638672,201.6802520751953,111.4986572265625,151.5511474609375,139.5809326171875,0.3113260567188263,0.5308396220207214,0.38144612312316895,90540.265625,138308.640625,133914.828125,300.89909542070745,371.8986967239869,365.94374994662775,0.9175125956535339,0.8879840970039368,0.8336129188537598,235.25870569740854
10,0.0009938441702975688,150.50207129945147,237.70113019245426,179.00681849888392,151.0014190673828,238.2011260986328,179.50680541992188,85.740478515625,185.4437255859375,100.77274322509766,0.2930597960948944,0.5884443521499634,0.37962445616722107,77679.5234375,136718.28125,92923.8125,278.71046524574564,369.75435257749166,304.83407371880196,0.9292294979095459,0.8892720937728882,0.8845435976982117,235.25870569740854
11,0.000992554663077387,163.4012881571761,225.7340713128811,160.71983664376395,163.89926147460938,226.23406982421875,161.2198486328125,97.50599670410156,172.258544921875,89.5450439453125,0.3067544996738434,0.430242121219635,0.3082834780216217,89081.359375,97433.84375,57387.45703125,298.4650052770006,312.1439471622027,239.55679291401862,0.9188417792320251,0.9210885167121887,0.9286969900131226,225.7340713128811
12,0.0009911436253643444,176.3019114207352,189.2982549899962,136.15278916131882,176.8012237548828,189.78631591796875,136.64114379882812,105.96044921875,83.376708984375,65.86222076416016,0.3117009401321411,0.46557003259658813,0.37759387493133545,95954.578125,88254.1328125,62707.0703125,309.76535978866326,297.07597144922374,250.41379816715371,0.9125798940658569,0.9285231232643127,0.9220874309539795,189.2982549899962
13,0.000989611405310883,154.9881619624454,192.08304354039635,146.8287091936384,155.48550415039062,192.58303833007812,147.32418823242188,90.77880859375,133.911376953125,87.223876953125,0.2806376814842224,0.5059353113174438,0.3567488491535187,78085.578125,82944.7890625,53136.16015625,279.4379682952909,288.0013698969156,230.51281993904374,0.928859531879425,0.9328231811523438,0.9339791536331177,189.2982549899962
14,0.0009879583809693738,164.70490410987367,210.03060689786585,135.43013799758185,165.2046661376953,210.53060913085938,135.93014526367188,97.3287353515625,158.7764892578125,50.650386810302734,0.298337459564209,0.5002749562263489,0.2589914798736572,109982.3828125,85119.3984375,50073.85546875,331.63591906260694,291.75228951543806,223.7718826589927,0.8997997045516968,0.9310619831085205,0.9377840161323547,189.2982549899962
15,0.0009861849601988384,143.4326318433582,231.4824963081174,124.3075703212193,143.9319610595703,231.9824981689453,124.80757141113281,100.3671875,161.9324951171875,75.74505615234375,0.29100555181503296,0.40699079632759094,0.20511886477470398,60196.40234375,106808.4765625,38626.39453125,245.34955134205973,326.815661440054,196.5359878781746,0.9451576471328735,0.9134960174560547,0.9520072937011719,189.2982549899962
16,0.0009842915805643156,148.9493589778077,151.66646222370426,102.17102995372954,149.44798278808594,152.15476989746094,102.67102813720703,88.09228515625,63.725982666015625,76.22611999511719,0.24550049006938934,0.3389023244380951,0.21244071424007416,66998.6640625,57706.296875,19698.3515625,258.841001509614,240.2213497485184,140.35081603788416,0.9389603734016418,0.9532637596130371,0.9755250811576843,151.66646222370426
17,0.000982278709228899,124.8592674000285,172.1029648199314,109.30270204089936,125.35698699951172,172.59414672851562,109.8027114868164,95.091796875,114.2808837890625,64.57159423828125,0.23272529244422913,0.30760133266448975,0.2223047912120819,44133.83203125,67699.4765625,24788.365234375,210.08053701199927,260.19123075634195,157.44321272882803,0.9597915410995483,0.9451703429222107,0.969200849533081,151.66646222370426
18,0.0009801468428384716,125.6922534142584,150.75068329601754,107.94903382800874,126.19194030761719,151.25067138671875,108.44903564453125,80.5728759765625,101.3468017578125,56.61181640625,0.2723624110221863,0.31014999747276306,0.20157328248023987,57359.1796875,52775.5,30738.140625,239.49776551671624,229.72918839363882,175.32296091784443,0.9477425217628479,0.9572572112083435,0.9618083238601685,150.75068329601754
19,0.000977896507399165,134.1656924540511,146.5892988995808,105.39456794375465,134.66513061523438,147.0893096923828,105.89457702636719,84.67449951171875,75.3487548828125,63.56402587890625,0.2627638578414917,0.36819571256637573,0.23321451246738434,57183.73828125,51358.0078125,27125.63671875,239.13121561446135,226.6230522530751,164.69862391273946,0.9479023218154907,0.9584052562713623,0.9662967920303345,146.5892988995808
