epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,546.7515264354578,339.7357564786585,388.99185616629467,547.2511596679688,340.2357177734375,389.4918518066406,476.6373291015625,282.89984130859375,304.7323303222656,1.5488030910491943,1.4144377708435059,1.7768476009368896,486067.4375,181990.421875,438107.8125,697.185368105212,426.6033542706855,661.8971313580381,0.562311053276062,0.827682375907898,0.5073978900909424,339.7357564786585
2,0.0009997532801828658,295.78886028626044,269.3814310213415,315.06719970703125,296.2888488769531,269.8814392089844,315.56719970703125,213.8240966796875,194.001708984375,219.73492431640625,0.7830169796943665,0.8161342740058899,1.4091647863388062,188606.890625,157360.46875,387652.625,434.2889483109143,396.6868648569045,622.6175591805936,0.8301652669906616,0.8510032296180725,0.5641289949417114,269.3814310213415
3,0.0009994449374809851,200.41678125445242,210.6986203077363,299.6758335658482,200.91676330566406,211.19862365722656,300.17584228515625,141.74520874023438,151.348876953125,179.30996704101562,0.497761607170105,0.7001128792762756,1.2265721559524536,93796.921875,89154.875,309308.8125,306.2628313638467,298.5881360670581,556.155385211723,0.9155387282371521,0.9155837297439575,0.6522176265716553,210.6986203077363
4,0.0009990133642141358,171.2966310448922,187.4478878858613,241.9293198358445,171.79583740234375,187.94789123535156,242.41871643066406,121.96804809570312,114.077880859375,138.845703125,0.40230539441108704,0.5623877644538879,1.0839030742645264,67422.1796875,67250.8359375,268691.25,259.6578126833468,259.32766134274993,518.3543672045216,0.9392883777618408,0.9363235235214233,0.6978874206542969,187.4478878858613
5,0.000998458666866564,160.28870561130142,187.49775658584224,264.59437343052457,160.78851318359375,187.9977569580078,265.09429931640625,116.9924087524414,154.79005432128906,135.86962890625,0.28349387645721436,0.502912700176239,1.0814378261566162,56352.8984375,62416.56640625,292258.34375,237.3876543493785,249.83307708598156,540.6092338741543,0.9492559432983398,0.9409008622169495,0.6713889837265015,187.4478878858613
6,0.00099778098230154,159.65486437209108,212.70316072789635,259.11703055245533,160.15328979492188,213.2031707763672,259.6170349121094,106.76493835449219,143.9605712890625,123.38690185546875,0.30240827798843384,0.6214892268180847,1.2676630020141602,66245.703125,92794.1171875,378186.9375,257.3824064014477,304.62126844247103,614.9690540994726,0.9403477311134338,0.9121378660202026,0.57477205991745,187.4478878858613
7,0.0009969804777275899,162.49025311223642,149.5277442001715,236.71529570079986,162.98809814453125,150.0277557373047,237.20602416992188,112.3211669921875,93.334716796875,116.18734741210938,0.27035948634147644,0.43571075797080994,1.0464216470718384,56186.28515625,44259.76171875,271044.34375,237.03646376929015,210.38004116063388,520.6191926446816,0.9494059681892395,0.9580926299095154,0.6952416896820068,149.5277442001715
8,0.000996057350657239,124.52325754832351,156.67192114853276,214.94548979259673,125.02236938476562,157.1540985107422,215.44540405273438,78.41845703125,95.8790283203125,97.49946594238281,0.21368350088596344,0.37959590554237366,1.0682731866836548,36571.96484375,51639.16015625,286481.3125,191.23797960590883,227.24251397185782,535.2394907889365,0.967068076133728,0.9511054754257202,0.677884578704834,149.5277442001715
9,0.0009950118288582787,109.45428448245156,136.6102384241616,214.1312728155227,109.95404815673828,137.11024475097656,214.6312713623047,74.64334106445312,110.2030029296875,94.5966796875,0.20183996856212616,0.33722445368766785,1.0431374311447144,23353.419921875,39130.25,253534.234375,152.81825781586113,197.81367495701605,503.52183108083807,0.9789709448814392,0.9629495143890381,0.7149297595024109,136.6102384241616
10,0.0009938441702975688,137.85034508980516,149.52410888671875,232.05680629185267,138.34878540039062,150.02410888671875,232.5568084716797,91.86651611328125,95.741455078125,69.39125061035156,0.19855737686157227,0.3769547939300537,1.1507517099380493,51836.15625,46383.65625,344176.25,227.6755504001253,215.36865196680785,586.6653645818884,0.9533231258392334,0.9560816287994385,0.6130132079124451,136.6102384241616
