epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,598.7187826510259,292.3940519007241,341.69422113327755,599.2188720703125,292.89404296875,342.1942138671875,480.10455322265625,288.568603515625,309.507568359375,1.7486908435821533,0.9273964762687683,1.5361406803131104,706246.625,137136.96875,174546.125,840.3848076922857,370.3200895846727,417.7871766820997,0.3573155999183655,0.8789156079292297,0.8010348081588745,292.3940519007241
2,0.0009997532801828658,300.3882216247744,194.4944353801448,222.5688680013021,300.8882141113281,194.9944305419922,223.06887817382812,215.3173828125,142.09307861328125,189.0777587890625,0.897473156452179,0.2619682550430298,0.7149012684822083,207410.796875,66139.4375,81636.640625,455.42375528182544,257.17588825548944,285.7212638656773,0.8112561702728271,0.9416025280952454,0.9069423675537109,194.4944353801448
3,0.0009994449374809851,248.5261306530799,189.2805086461509,225.97969563802084,249.02407836914062,189.78050231933594,226.47970581054688,161.3616943359375,135.15087890625,197.3676300048828,0.6780682802200317,0.2441602498292923,0.6725605726242065,150892.671875,62974.51953125,78284.484375,388.449059562512,250.94724451814568,279.7936460590197,0.8626877069473267,0.94439697265625,0.9107635021209717,189.2805086461509
4,0.0009990133642141358,219.57884462118872,145.4706093392721,151.5215599423363,220.07740783691406,145.97059631347656,152.0215606689453,147.742431640625,115.87130737304688,119.14265441894531,0.5150555372238159,0.2507283389568329,0.47753098607063293,111265.7734375,33877.05078125,41762.078125,333.56524614758655,184.05719432081432,204.3577209821053,0.8987481594085693,0.9700884222984314,0.9523953795433044,145.4706093392721
5,0.000998458666866564,171.81340421079503,112.65347811070885,135.873776390439,172.31268310546875,113.15348815917969,136.37269592285156,116.2655029296875,83.31787109375,94.6039047241211,0.39044424891471863,0.16824042797088623,0.3869590163230896,84221.6875,29218.69140625,35691.46484375,290.20973019525036,170.93475774765645,188.92184850818606,0.9233582615852356,0.974201500415802,0.959315299987793,112.65347811070885
6,0.00099778098230154,151.2232712394923,129.2666075171494,144.7041248139881,151.72286987304688,129.7628173828125,145.20407104492188,101.7928466796875,110.3519287109375,127.45916748046875,0.34031036496162415,0.14879213273525238,0.32547032833099365,61169.44140625,30544.25,32963.79296875,247.32456692825724,174.76913343036293,181.5593373218519,0.9443358182907104,0.9730311036109924,0.9624245762825012,112.65347811070885
7,0.0009969804777275899,154.68679021122244,120.39630126953125,129.01029168991815,155.18629455566406,120.89629364013672,129.5102996826172,111.296142578125,66.513916015625,83.62889099121094,0.33799657225608826,0.10955347865819931,0.2621127963066101,65626.796875,28600.19140625,35529.94140625,256.1772762658702,169.11591115637228,188.4938763096828,0.9402796030044556,0.9747475981712341,0.9594994187355042,112.65347811070885
8,0.000996057350657239,123.74933742534787,111.21247528820503,120.93450927734375,124.24776458740234,111.71247100830078,121.43414306640625,83.0242919921875,88.03070068359375,104.97271728515625,0.34883469343185425,0.14308302104473114,0.24601243436336517,59749.22265625,26993.423828125,27326.015625,244.43654116406165,164.2967553791766,165.30582453440653,0.9456282258033752,0.976166307926178,0.9688510894775391,111.21247528820503
9,0.0009950118288582787,132.61072185481572,139.7396954792302,149.0321771530878,133.10926818847656,140.23971557617188,149.53216552734375,87.46830749511719,98.682861328125,112.32528686523438,0.30919378995895386,0.12096527963876724,0.3162693381309509,65908.875,40427.2890625,37081.70703125,256.72723852369074,201.06538504302526,192.5661108067824,0.9400229454040527,0.9643049240112305,0.9577305316925049,111.21247528820503
10,0.0009938441702975688,130.1735000378455,108.47662651248095,112.28765433175224,130.6715850830078,108.97015380859375,112.78765869140625,75.052734375,64.26513671875,62.315574645996094,0.2908170223236084,0.12815818190574646,0.3501545190811157,69816.4140625,21855.0,27008.958984375,264.22795851782985,147.83436677579405,164.3440263118042,0.9364670515060425,0.9807032346725464,0.9692124724388123,108.47662651248095
11,0.000992554663077387,168.411348012443,175.1951904296875,144.23534574962798,168.9112548828125,175.69517517089844,144.7353515625,113.55111694335938,103.6527099609375,99.53839111328125,0.40013471245765686,0.17915967106819153,0.413627564907074,89247.234375,63280.98828125,42733.734375,298.74275618833,251.55712727181873,206.72139312369197,0.918785035610199,0.9441263675689697,0.9512878060340881,108.47662651248095
12,0.0009911436253643444,153.0516281359826,169.8117705554497,163.5121096656436,153.55064392089844,170.31146240234375,164.01211547851562,102.40087890625,115.1827392578125,99.24154663085938,0.32323721051216125,0.1959734410047531,0.4135853052139282,70770.625,54528.12109375,57267.3828125,266.0274891810995,233.5125715967986,239.3060442456479,0.9355987310409546,0.9518546462059021,0.9347208738327026,108.47662651248095
13,0.000989611405310883,122.22073707464618,142.61589087509526,134.74779692150298,122.72041320800781,143.11590576171875,135.24778747558594,72.6502685546875,108.2578125,80.80290222167969,0.2738865315914154,0.15430757403373718,0.40900692343711853,51639.37890625,37949.96484375,36973.421875,227.24299528533328,194.80750715449855,192.28474165934227,0.9530081748962402,0.9664922952651978,0.9578539729118347,108.47662651248095
14,0.0009879583809693738,116.03266361781529,106.99762632788682,120.07002476283482,116.53179931640625,107.49703216552734,120.56929016113281,77.27757263183594,71.0794677734375,104.4948501586914,0.28386834263801575,0.10394077748060226,0.21661420166492462,60074.14453125,26705.48828125,26917.30078125,245.1002744414008,163.4181393886554,164.0649285534541,0.9453325271606445,0.976420521736145,0.9693169593811035,106.99762632788682
15,0.0009861849601988384,110.01773080564922,124.21097918254573,102.2657950265067,110.51701354980469,124.71097564697266,102.76358032226562,66.82798767089844,66.249267578125,50.18231201171875,0.2569383978843689,0.10958360880613327,0.17289629578590393,49329.15234375,35888.796875,28663.458984375,222.10167118630602,189.4433869919982,169.30286171348374,0.955110490322113,0.96831214427948,0.9673265218734741,106.99762632788682
16,0.0009842915805643156,110.07151562537103,112.46780023342225,119.40872047061012,110.57038116455078,112.94700622558594,119.9087142944336,73.7628173828125,78.63671875,78.6666488647461,0.25228554010391235,0.0869106873869896,0.24167031049728394,50135.015625,26975.994140625,35733.90625,223.90849833134962,164.24370350374167,189.03414043500186,0.9543771147727966,0.97618168592453,0.9592669010162354,106.99762632788682
17,0.000982278709228899,107.3901092134937,113.69276688738567,101.84668472834996,107.88460540771484,114.18143463134766,102.34603881835938,63.368228912353516,74.68115234375,56.19853973388672,0.23885869979858398,0.12625586986541748,0.24830523133277893,47764.92578125,27797.3203125,26352.716796875,218.55188349966238,166.7252839628711,162.33519888451488,0.9565339088439941,0.9754564762115479,0.9699605107307434,106.99762632788682
18,0.0009801468428384716,101.66331059881982,82.20195714438835,95.7934061686198,102.16331481933594,82.69847106933594,96.29241943359375,65.65763854980469,57.07861328125,65.85255432128906,0.23340770602226257,0.09228604286909103,0.16322371363639832,45586.015625,13381.998046875,20321.474609375,213.50881861178473,115.68058630070561,142.55340967291872,0.9585167169570923,0.9881844520568848,0.9768355488777161,82.20195714438835
19,0.000977896507399165,95.10982469367401,107.0161698504192,110.82430448986236,95.60872650146484,107.5147933959961,111.31629180908203,59.045654296875,67.6693115234375,73.01470947265625,0.25221383571624756,0.11482679843902588,0.20652922987937927,39117.1171875,24973.05859375,29235.4609375,197.78047726583128,158.0286638358687,170.9838031437481,0.9644033908843994,0.9779501557350159,0.9666745066642761,82.20195714438835
20,0.0009755282581475768,110.32733664469154,138.137451171875,145.52690051850817,110.82645416259766,138.63734436035156,146.0269012451172,63.95773696899414,76.415771484375,88.64787292480469,0.24207264184951782,0.1665860414505005,0.28840190172195435,54951.5859375,47910.95703125,47755.31640625,234.4175461382957,218.88571682786886,218.5298981975922,0.9499940872192383,0.9576972723007202,0.9455636739730835,82.20195714438835
