epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,516.1725346991357,327.174286633003,335.22406587146577,516.672607421875,327.67431640625,335.72406005859375,449.7783203125,251.2535400390625,298.78082275390625,1.7449034452438354,1.4403588771820068,0.8972368836402893,477222.03125,204100.25,172756.484375,690.8125876458824,451.7745566098206,415.63984935879284,0.5696275234222412,0.8434099555015564,0.7556913495063782,327.174286633003
2,0.0009997532801828658,271.3969991852085,248.0703601371951,262.5305931454613,271.895751953125,248.5703582763672,263.03057861328125,195.405517578125,148.9794921875,220.3775634765625,0.8776595592498779,0.8224022388458252,0.5978959798812866,160937.234375,126106.8671875,115328.8828125,401.1698323341375,355.11528717798114,339.60106420990496,0.8548622131347656,0.903248131275177,0.8369042873382568,248.0703601371951
3,0.0009994449374809851,196.19427100648272,175.2110565929878,183.93988473074776,196.69427490234375,175.7110595703125,184.4398651123047,142.2921142578125,91.3121337890625,145.0440673828125,0.5286993980407715,0.5771660804748535,0.4681827127933502,87807.7421875,108282.2890625,67518.4453125,296.32371182121085,329.0627433522367,259.8431167310383,0.9208124876022339,0.9169235229492188,0.9045168161392212,175.2110565929878
4,0.0009990133642141358,170.81664338735098,187.07496456983614,213.11980329241072,171.31661987304688,187.57496643066406,213.6197967529297,118.90402221679688,123.380859375,155.48658752441406,0.46013861894607544,0.42141011357307434,0.3787659704685211,72600.2734375,83451.3515625,81252.34375,269.4443791165442,288.8794758415696,285.04796745460226,0.9345270395278931,0.9359743595123291,0.8850945830345154,175.2110565929878
5,0.000998458666866564,158.02599299932322,148.5635673709032,172.08000982375373,158.52572631835938,149.06356811523438,172.5725860595703,112.418701171875,71.2685546875,123.82159423828125,0.41227486729621887,0.362500935792923,0.2716399133205414,74298.0,90150.640625,55643.26953125,272.5765947399006,300.2509627378404,235.88825645048547,0.9329959154129028,0.9308345317840576,0.9213104248046875,148.5635673709032
6,0.00099778098230154,149.96033104429853,162.52867908012576,143.1104009719122,150.4600830078125,163.02867126464844,143.60769653320312,97.061279296875,96.3665771484375,84.9376220703125,0.3161848783493042,0.31805798411369324,0.23070847988128662,62116.63671875,107605.4140625,50207.48046875,249.23209407849143,328.0326417637428,224.07025788522225,0.9439814686775208,0.9174428582191467,0.9289976358413696,148.5635673709032
7,0.0009969804777275899,132.01892154774768,199.06058558022104,152.76705206008185,132.51693725585938,199.56060791015625,153.2670440673828,78.70220947265625,111.4420166015625,109.42920684814453,0.2930607497692108,0.33637747168540955,0.26847371459007263,62328.046875,188933.40625,46263.89453125,249.65585688102732,434.6647055490013,215.0904333791952,0.9437907934188843,0.855046272277832,0.934574544429779,148.5635673709032
8,0.000996057350657239,131.9204073734921,148.8201591677782,176.87156459263392,132.4193572998047,149.3201446533203,177.37156677246094,76.1258544921875,82.284912109375,127.79193115234375,0.2708684802055359,0.24206942319869995,0.24295970797538757,59393.08984375,105068.953125,57448.41796875,243.70697536949984,324.1434144402752,239.68399606304547,0.9464375972747803,0.9193888902664185,0.9187576174736023,148.5635673709032
9,0.0009950118288582787,133.5345777842049,139.6014463843369,160.52008928571428,134.0326690673828,140.1014404296875,161.02008056640625,83.38623046875,70.310546875,99.9605712890625,0.28863874077796936,0.24354474246501923,0.21044695377349854,59416.5234375,60797.46484375,58615.5234375,243.75504802465116,246.57141935704956,242.10642997966823,0.9464164972305298,0.9533548951148987,0.917107105255127,139.6014463843369
10,0.0009938441702975688,119.03898003760804,145.47753534084413,157.9877668108259,119.53750610351562,145.97752380371094,158.48776245117188,76.59210205078125,78.31396484375,104.47674560546875,0.30459821224212646,0.19246424734592438,0.221167653799057,49714.578125,118348.265625,48314.8046875,222.96766161262042,344.0178274813676,219.80628900807184,0.9551659822463989,0.9092006683349609,0.9316741824150085,139.6014463843369
