epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,336.38330814756193,164.3153839111328,228.3967742919922,336.8795471191406,164.8153839111328,228.89678955078125,391.7507019042969,100.0701904296875,219.33404541015625,1.1812258958816528,0.3075699806213379,0.9921273589134216,141961.953125,46868.63671875,80731.9375,376.7783872848866,216.49165507878126,284.1336613286078,0.28322988748550415,0.5107926726341248,0.4173402786254883,164.3153839111328
2,0.0009997532801828658,227.3626919450431,152.43792724609375,201.03900146484375,227.86268615722656,152.93789672851562,201.53897094726562,162.89556884765625,118.1353759765625,197.52932739257812,1.090840458869934,0.2738063633441925,0.8684545159339905,90727.0078125,44261.16796875,58932.87109375,301.2092425748254,210.3833832999888,242.76093403542095,0.5419166088104248,0.5380090475082397,0.574668824672699,152.43792724609375
3,0.0009994449374809851,223.79840614055766,170.1050262451172,194.33676147460938,224.29327392578125,170.60499572753906,194.8367462158203,209.75054931640625,168.5438232421875,161.19888305664062,0.9052274227142334,0.26381272077560425,0.765066921710968,66335.7734375,45829.96484375,48734.68359375,257.5573206831831,214.07934240311465,220.7593341033398,0.6650686264038086,0.5216342210769653,0.6482713222503662,152.43792724609375
4,0.0009990133642141358,175.9438045107085,143.36944580078125,204.17015075683594,176.44381713867188,143.8694305419922,204.67015075683594,142.27688598632812,129.8013916015625,148.04638671875,0.7277762293815613,0.2250688076019287,0.7846402525901794,47694.140625,27410.646484375,71278.5625,218.38988214887613,165.56160933131508,266.9804534043644,0.7591907978057861,0.7138921022415161,0.4855673313140869,143.36944580078125
5,0.000998458666866564,136.89028641273237,108.7555160522461,178.81472778320312,137.39028930664062,109.25550842285156,179.31472778320312,109.57298278808594,77.295166015625,97.88931274414062,0.5578343868255615,0.16617849469184875,0.674875020980835,35085.3203125,17540.720703125,50871.66796875,187.31075866724794,132.44138591514738,225.54748495327985,0.822853147983551,0.8169127702713013,0.6328482627868652,108.7555160522461
6,0.00099778098230154,127.37931244948814,94.14533233642578,172.69439697265625,127.87932586669922,94.64532470703125,173.19442749023438,78.82778930664062,63.0958251953125,141.68804931640625,0.523898184299469,0.09430120885372162,0.642852783203125,31031.619140625,12950.5751953125,59629.01171875,176.15793805737226,113.80059400245896,244.1905234007864,0.8433204293251038,0.8648239970207214,0.5696446299552917,94.14533233642578
7,0.0009969804777275899,126.39162510839002,121.6629409790039,177.19259643554688,126.89161682128906,122.16292572021484,177.69259643554688,87.91635131835938,155.8502197265625,143.44699096679688,0.5085909366607666,0.1388719081878662,0.5583124160766602,27690.4921875,19790.21875,43523.73046875,166.40460386509744,140.67771234278726,208.62341783402456,0.8601898550987244,0.793432891368866,0.6858798861503601,94.14533233642578
8,0.000996057350657239,102.95381848565464,126.32901763916016,161.99774169921875,103.44879913330078,126.82901763916016,162.49774169921875,83.77859497070312,133.03533935546875,128.98171997070312,0.3308648467063904,0.1823454052209854,0.49138322472572327,18483.05859375,18397.134765625,34374.29296875,135.95241297509213,135.63603785729293,185.403055446101,0.9066784977912903,0.8079736828804016,0.7519133687019348,94.14533233642578
9,0.0009950118288582787,113.94410863415948,96.30868530273438,154.65380859375,114.44107055664062,96.80867767333984,155.15380859375,94.6638412475586,85.79913330078125,129.28890991210938,0.35318443179130554,0.09909702092409134,0.48408013582229614,28460.853515625,14463.3623046875,33259.21484375,168.70344844022898,120.26371981893584,182.37109103076068,0.8563002943992615,0.8490337133407593,0.7599611282348633,94.14533233642578
10,0.0009938441702975688,105.42662837587554,94.24049377441406,149.91954040527344,105.92662048339844,94.74048614501953,150.41954040527344,72.9776611328125,82.52581787109375,115.81527709960938,0.33877822756767273,0.12999829649925232,0.4744492173194885,26970.8671875,11804.556640625,34987.7421875,164.22809500052054,108.64877652613029,187.05010608791432,0.8638232946395874,0.876785933971405,0.7474859952926636,94.14533233642578
11,0.000992554663077387,111.10534878434807,149.8760528564453,162.9221649169922,111.60472869873047,150.3760528564453,163.42218017578125,67.53533935546875,155.295654296875,152.96368408203125,0.27873846888542175,0.21106049418449402,0.47876009345054626,38305.19140625,29835.037109375,38197.04296875,195.71712088177162,172.72821746713825,195.44063796649354,0.8065959215164185,0.6885866522789001,0.7243237495422363,94.14533233642578
