epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,352.8556897393588,268.383544921875,119.69758605957031,353.3556823730469,268.883544921875,120.19758605957031,403.5848693847656,235.92425537109375,96.71444702148438,1.247710943222046,1.304164171218872,0.15807625651359558,160341.328125,89937.234375,22476.517578125,400.4264328500305,299.89537238010195,149.9217048266361,0.1549208164215088,0.5355026721954346,0.714950680732727,268.383544921875
2,0.0009997532801828658,237.82300120386583,194.41006469726562,152.4276123046875,238.32301330566406,194.91004943847656,152.9276123046875,187.17218017578125,113.8897705078125,156.263916015625,1.1512454748153687,1.159976840019226,0.19260965287685394,90104.828125,66118.9296875,29689.892578125,300.1746626965707,257.13601398384475,172.30755229566984,0.5251023769378662,0.6585166454315186,0.6234699487686157,194.41006469726562
3,0.0009994449374809851,195.280735410493,160.0282745361328,177.27105712890625,195.78074645996094,160.5282745361328,177.77105712890625,158.36297607421875,101.8660888671875,179.49264526367188,0.9507198333740234,0.9178190231323242,0.19200552999973297,58070.38671875,43320.70703125,44378.34765625,240.97797973829475,208.1362703404911,210.66169005362602,0.6939399242401123,0.7762622833251953,0.437189519405365,160.0282745361328
4,0.0009990133642141358,160.68817664837016,199.1153106689453,150.8139190673828,161.18817138671875,199.6152801513672,151.3139190673828,114.53704833984375,201.56585693359375,150.45111083984375,0.7581686973571777,1.0549978017807007,0.1806778758764267,42985.578125,57806.2890625,29174.890625,207.32963638852985,240.4293847733675,170.80658835361123,0.7734444737434387,0.7014487981796265,0.6300012469291687,160.0282745361328
5,0.000998458666866564,145.76067483836206,201.7402801513672,207.57608032226562,146.26065063476562,202.24026489257812,208.07608032226562,106.0904541015625,124.66046142578125,144.5928955078125,0.5838955640792847,1.115755319595337,0.21231406927108765,36494.2109375,82324.015625,62935.11328125,191.03458047563012,286.9216193056912,250.86871722327197,0.8076572418212891,0.5748225450515747,0.20185089111328125,160.0282745361328
6,0.00099778098230154,160.64928462587554,154.0459442138672,128.61614990234375,161.14927673339844,154.54592895507812,129.11614990234375,115.79857635498047,139.80517578125,120.93716430664062,0.5784034729003906,0.7776408195495605,0.15199890732765198,46504.8671875,32013.263671875,28251.19921875,215.6498717539614,178.9225074491049,168.0809305624823,0.7548960447311401,0.834661602973938,0.6417155861854553,154.0459442138672
7,0.0009969804777275899,140.3203915563123,146.21412658691406,116.0393295288086,140.81549072265625,146.714111328125,116.5393295288086,92.96641540527344,123.0863037109375,126.24020385742188,0.42586731910705566,0.687766969203949,0.13275310397148132,43044.4921875,34716.19140625,15659.26171875,207.47166598718968,186.32281504488387,125.13697182987129,0.7731339931488037,0.8207018375396729,0.8014077544212341,146.21412658691406
8,0.000996057350657239,138.1402051202182,125.3859634399414,85.38201904296875,138.63650512695312,125.88597106933594,85.88201904296875,90.7513198852539,86.7198257446289,80.9193115234375,0.35440385341644287,0.682261049747467,0.1045338362455368,47267.578125,25947.171875,10311.115234375,217.4110809618498,161.0812586088152,101.54366171443199,0.7508761882781982,0.8659910559654236,0.8692334294319153,125.3859634399414
9,0.0009950118288582787,103.86436094086746,134.11773681640625,98.8949966430664,104.36236572265625,134.6177215576172,99.3949966430664,65.28009033203125,92.230712890625,80.88189697265625,0.2914573848247528,0.672267735004425,0.11806206405162811,24127.353515625,25873.50390625,13389.0986328125,155.32982172018674,160.85242897217935,115.71127271278499,0.872836709022522,0.8663715124130249,0.8301981687545776,125.3859634399414
10,0.0009938441702975688,104.28526148302802,128.73085021972656,113.08294677734375,104.78199768066406,129.23085021972656,113.58294677734375,88.89103698730469,98.273681640625,129.82009887695312,0.26004061102867126,0.6418591737747192,0.13258837163448334,19057.337890625,24154.626953125,17404.796875,138.04831723213798,155.4175889438676,131.9272408375162,0.8995583057403564,0.8752490282058716,0.7792707085609436,125.3859634399414
