epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,365.20611414755547,167.88496157997534,169.70377197265626,365.70611572265625,168.3849639892578,170.20376586914062,360.8503723144531,191.64324951171875,197.24581909179688,5.297835350036621,2.218170404434204,3.0559921264648438,153820.953125,32395.658203125,36272.2109375,392.20014421848447,179.98793904905128,190.4526474940687,-32.508792877197266,-5.125024795532227,-10.561799049377441,167.88496157997534
2,0.0009997532801828658,114.85837604153541,70.75922915810033,85.20193405151367,115.35838317871094,71.25923156738281,85.70193481445312,96.16702270507812,52.00602722167969,60.400672912597656,1.5813789367675781,0.7230211496353149,1.4405889511108398,24989.671875,8775.8623046875,10898.673828125,158.08121923555626,93.67957250482893,104.39671368450733,-4.443820953369141,-0.6592460870742798,-2.47396183013916,70.75922915810033
3,0.0009994449374809851,62.92550169421781,32.05849828218159,51.131272888183595,63.42550277709961,32.55849838256836,51.63127517700195,50.67420959472656,23.422592163085938,45.1148567199707,0.9274069666862488,0.4903430938720703,1.0471618175506592,7442.921875,1898.246337890625,4772.5947265625,86.27237028736373,43.568868907634325,69.08396866540384,-0.621387243270874,0.6410999298095703,-0.5212688446044922,32.05849828218159
4,0.0009990133642141358,38.2889760417323,23.292410800331517,45.82745208740234,38.78273010253906,23.776718139648438,46.325592041015625,33.76439666748047,15.864086151123047,36.749237060546875,0.5795095562934875,0.39681684970855713,0.9905563592910767,2568.75244140625,1361.0281982421875,3628.37548828125,50.68286141691539,36.892115665033195,60.23599827579228,0.4404156804084778,0.7426713705062866,-0.1565479040145874,23.292410800331517
5,0.000998458666866564,27.91662022990565,20.963549764532793,32.22789764404297,28.412036895751953,21.439334869384766,32.72789764404297,21.114227294921875,12.503822326660156,17.8414363861084,0.4325133264064789,0.29018428921699524,0.5881205201148987,1477.875244140625,883.6505126953125,2157.08251953125,38.44314300549092,29.726259648588695,46.44440245639134,0.6780554056167603,0.8329288363456726,0.3124280571937561,20.963549764532793
6,0.00099778098230154,25.96937713623047,20.146418722052324,28.858452987670898,26.457775115966797,20.64641761779785,29.35845375061035,21.27490234375,14.751899719238281,16.841934204101562,0.4291529357433319,0.29404202103614807,0.5143533945083618,1212.9974365234375,667.7070922851562,1688.5845947265625,34.82811273272552,25.840028875470637,41.09239095899097,0.7357572317123413,0.8737570643424988,0.46176213026046753,20.146418722052324
7,0.0009969804777275899,23.543211758521295,24.175660635295667,35.213069152832034,24.03799819946289,24.670915603637695,35.71306610107422,19.4385986328125,20.106163024902344,28.66850471496582,0.36860191822052,0.26701363921165466,0.6091018915176392,990.8069458007812,1140.80322265625,2069.121826171875,31.477086043672806,33.77577863878567,45.4876007959518,0.7841598391532898,0.7843091487884521,0.3404655456542969,20.146418722052324
8,0.000996057350657239,26.288238340808498,23.27007374010588,29.53553161621094,26.784122467041016,23.764875411987305,30.035533905029297,20.22704315185547,20.477737426757812,28.196178436279297,0.4423791766166687,0.24049259722232819,0.4899614453315735,1239.074951171875,866.7987060546875,1272.209228515625,35.20049646200853,29.44144537984994,35.668042117778555,0.7300764322280884,0.8361150026321411,0.5944821834564209,20.146418722052324
9,0.0009950118288582787,20.472641464971726,20.28257252040662,27.920269775390626,20.97150993347168,20.782306671142578,28.420269012451172,15.724349975585938,14.01007080078125,22.541475296020508,0.3333144187927246,0.2686271071434021,0.4818291664123535,728.63525390625,672.078125,1229.5914306640625,26.993244597607195,25.924469618489788,35.06553052021404,0.8412719964981079,0.872930645942688,0.6080666780471802,20.146418722052324
10,0.0009938441702975688,15.823404816658266,15.46485690066689,26.629986572265626,16.320518493652344,15.964858055114746,27.129985809326172,12.813720703125,14.070255279541016,19.753803253173828,0.2578871250152588,0.2264489084482193,0.5396515727043152,423.7655334472656,397.82379150390625,1273.837890625,20.58556614347212,19.945520587437827,35.69086564689907,0.9076856970787048,0.9247837066650391,0.5939630270004272,15.46485690066689
11,0.000992554663077387,16.685637406379946,16.890157900358503,29.367147827148436,17.184696197509766,17.37192726135254,29.867151260375977,13.591796875,16.642051696777344,19.47943878173828,0.2562204897403717,0.2312849462032318,0.6027651429176331,465.3521728515625,460.0190124511719,1451.2559814453125,21.572022919781134,21.448053815000836,38.09535380391305,0.8986263871192932,0.9130245447158813,0.5374108552932739,15.46485690066689
12,0.0009911436253643444,14.943843152446131,15.21828199687757,28.45856704711914,15.439112663269043,15.718282699584961,28.948999404907227,13.112232208251953,11.69046401977539,20.531612396240234,0.2407086044549942,0.23659434914588928,0.5971147418022156,384.8930358886719,389.0687255859375,1445.8734130859375,19.61869098305674,19.724825109134365,38.02464218222096,0.9161537885665894,0.9264390468597412,0.5391265153884888,15.21828199687757
13,0.000989611405310883,15.486347229250017,15.089041458932977,19.25977478027344,15.982895851135254,15.581226348876953,19.748676300048828,13.0223388671875,14.326519012451172,10.571903228759766,0.25999072194099426,0.21968786418437958,0.3550916314125061,412.505859375,345.8514709472656,843.1661987304688,20.310240258918654,18.597082323506168,29.037324235033584,0.9101385474205017,0.93461012840271,0.7312400341033936,15.089041458932977
14,0.0009879583809693738,15.633750201809791,14.02411917636269,23.2490234375,16.127456665039062,14.508277893066406,23.748485565185547,12.625068664550781,9.761909484863281,17.530471801757812,0.2425021231174469,0.19865894317626953,0.45838966965675354,426.1417236328125,361.6678466796875,1000.51171875,20.643200421272194,19.017566791776687,31.630866550728577,0.9071680903434753,0.9316197037696838,0.681086003780365,14.02411917636269
15,0.0009861849601988384,15.679109487225933,23.590062041031686,31.062493133544923,16.171545028686523,24.08248519897461,31.554656982421875,12.015472412109375,20.838909149169922,27.049331665039062,0.2649339735507965,0.3487434983253479,0.677739143371582,476.5696105957031,807.41015625,1747.9140625,21.83047435571896,28.414963597548386,41.80806217106935,0.8961827158927917,0.8473435044288635,0.44285082817077637,14.02411917636269
16,0.0009842915805643156,14.836600371330015,9.949147174232884,20.489570999145506,15.331029891967773,10.447794914245605,20.98956871032715,12.530059814453125,7.886627197265625,14.356258392333984,0.25768300890922546,0.14575843513011932,0.389987051486969,397.42498779296875,204.73779296875,789.8167724609375,19.935520755499937,14.308661466704354,28.103678984448592,0.9134238362312317,0.9612903594970703,0.7482451796531677,9.949147174232884
17,0.000982278709228899,15.060587932217505,12.668006294652036,19.0130615234375,15.560587882995605,13.14709186553955,19.475955963134766,12.706226348876953,13.982810974121094,13.268558502197266,0.24708744883537292,0.1600310504436493,0.3152645230293274,405.8921203613281,253.9058380126953,676.0213623046875,20.14676451347283,15.93442305239494,26.0004108103062,0.9115793108940125,0.9519941806793213,0.7845175862312317,9.949147174232884
18,0.0009801468428384716,13.542171158329133,12.846573478297183,18.77239227294922,14.032042503356934,13.330442428588867,19.27239418029785,10.638191223144531,12.06491470336914,10.522106170654297,0.232049360871315,0.16158051788806915,0.36548176407814026,360.66473388671875,250.71592712402344,729.0813598632812,18.991175158128545,15.834011719208226,27.001506622099466,0.9214317798614502,0.9525973200798035,0.767604649066925,9.949147174232884
19,0.000977896507399165,12.646248540570658,12.514174059817666,18.517448043823244,13.131826400756836,13.01417350769043,19.01401710510254,10.553436279296875,10.340892791748047,15.486690521240234,0.20253886282444,0.1639566570520401,0.37512314319610596,292.1310119628906,265.8832092285156,587.1468505859375,17.091840508350487,16.305925586378578,24.231113275826548,0.9363613724708557,0.9497296214103699,0.8128464221954346,9.949147174232884
