epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,192.604737110627,149.9581329345703,234.16726481119792,193.104736328125,150.45811462402344,234.66725158691406,165.4884033203125,167.499755859375,206.44158935546875,0.38772451877593994,0.23151688277721405,0.44223350286483765,62938.19921875,29171.447265625,96102.578125,250.87486765068755,170.7965083531423,310.0041582382404,0.0052528977394104,0.163063645362854,0.03601902723312378,149.9581329345703
2,0.0009997532801828658,147.0244867047693,125.23551025390626,210.2416544596354,147.5244903564453,125.73550415039062,210.74160766601562,105.5816650390625,112.244384765625,154.10308837890625,0.2664283514022827,0.19898740947246552,0.3939334750175476,42218.078125,20311.69140625,90581.984375,205.47038259807664,142.51909137462954,300.9684109254657,0.33273738622665405,0.4172523617744446,0.09139466285705566,125.23551025390626
3,0.0009994449374809851,135.80492446768997,94.66485188802083,183.40807088216147,136.301025390625,95.16484832763672,183.90806579589844,87.46612548828125,86.084716796875,139.3316650390625,0.25255271792411804,0.15515966713428497,0.3387893736362457,38233.5703125,11900.02734375,68868.0546875,195.53406432767667,109.08724647615779,262.427236939118,0.39571303129196167,0.6585851907730103,0.309201717376709,94.66485188802083
4,0.0009990133642141358,106.80320244161491,103.34226786295572,154.11720479329426,107.30264282226562,103.84225463867188,154.61717224121094,70.49090576171875,96.32989501953125,108.5423583984375,0.20092906057834625,0.14756955206394196,0.25041109323501587,22636.787109375,13562.328125,59455.16796875,150.45526614038806,116.45740906013665,243.83430433134302,0.6422224044799805,0.6108933091163635,0.40362000465393066,94.66485188802083
5,0.000998458666866564,121.93416067270132,84.90746154785157,149.50098978678386,122.43293762207031,85.40745544433594,150.00099182128906,77.39776611328125,60.28253173828125,74.29388427734375,0.19711582362651825,0.12538528442382812,0.21650288999080658,33950.40234375,11013.71484375,62851.42578125,184.25634953441903,104.94624740194382,250.70186632981014,0.4634091258049011,0.6840137243270874,0.3695530295372009,84.90746154785157
6,0.00099778098230154,91.43502970638438,79.61247914632162,157.35781656901042,91.93173217773438,80.11248016357422,157.85781860351562,57.211517333984375,53.65509033203125,71.94549560546875,0.16253575682640076,0.1149265468120575,0.2370378077030182,17622.15625,13064.17578125,65652.96875,132.74846985935469,114.2986254565207,256.22835274418793,0.7214792966842651,0.6251854300498962,0.34145140647888184,79.61247914632162
7,0.0009969804777275899,89.10603254269331,84.62510884602865,151.25196024576823,89.60603332519531,85.12488555908203,151.751953125,64.1689453125,56.3297119140625,70.7208251953125,0.15201236307621002,0.11307014524936676,0.21062640845775604,15407.2529296875,13258.40234375,63647.26953125,124.12595590644005,115.14513599692347,252.28410479308837,0.7564862370491028,0.6196130514144897,0.3615700602531433,79.61247914632162
8,0.000996057350657239,88.63556260329027,78.8005594889323,149.0288055419922,89.13140106201172,79.30055236816406,149.52879333496094,71.2218017578125,38.598236083984375,54.17864990234375,0.1462494283914566,0.11544161289930344,0.2204931527376175,14219.001953125,15631.4755859375,58455.609375,119.24345664700013,125.02589966058032,241.77594871078472,0.7752666473388672,0.5515289306640625,0.4136463403701782,78.8005594889323
9,0.0009950118288582787,81.7151732811561,82.60457153320313,161.15759785970053,82.21272277832031,83.10457611083984,161.65757751464844,54.75244140625,63.8175048828125,110.53466796875,0.1306072324514389,0.11431099474430084,0.2197677195072174,12439.263671875,10101.53515625,66228.78125,111.5314470087921,100.50639360881476,257.34953127993066,0.803395688533783,0.7101843357086182,0.33567559719085693,78.8005594889323
10,0.0009938441702975688,81.71828317234659,87.29507598876953,140.0598358154297,82.2182846069336,87.7950668334961,140.55230712890625,59.8411865234375,65.4769287109375,87.2823486328125,0.1377512514591217,0.11919303238391876,0.1838332861661911,13565.1142578125,12295.23046875,54474.21484375,116.46937047057695,110.88386027168247,233.39711832786196,0.7856014370918274,0.6472467184066772,0.4535827040672302,78.8005594889323
11,0.000992554663077387,73.88841100839468,98.72629191080729,158.3281270345052,74.3876724243164,99.22628784179688,158.82810974121094,57.25396728515625,61.801849365234375,115.82135009765625,0.12418056279420853,0.1358812004327774,0.2205372452735901,9665.1259765625,28610.111328125,53481.84765625,98.31137256982277,169.14523737937466,231.2614270825336,0.8472412824630737,0.17916858196258545,0.46353691816329956,78.8005594889323
12,0.0009911436253643444,69.29344063131218,78.32234039306641,134.36811116536458,69.7934341430664,78.82233428955078,134.86810302734375,49.329833984375,49.34576416015625,52.28436279296875,0.11959759891033173,0.11875111609697342,0.20235063135623932,9294.2568359375,13419.1259765625,44735.05078125,96.40672609282767,115.84095120708609,211.5066211286304,0.85310298204422,0.6150017976760864,0.5512738227844238,78.32234039306641
13,0.000989611405310883,71.07688401703142,109.33342081705729,138.62601826985676,71.5748291015625,109.83341217041016,139.09402465820312,52.052490234375,106.241943359375,108.9013671875,0.11621250957250595,0.14095085859298706,0.18322189152240753,9198.77734375,19455.57421875,45897.515625,95.91025671819465,139.48323992060838,214.2370547431046,0.8546119928359985,0.4418145418167114,0.5396134853363037,78.32234039306641
14,0.0009879583809693738,64.01752468663403,73.7614242553711,135.36905619303386,64.51752471923828,74.26142883300781,135.8690643310547,48.7193603515625,57.0528564453125,84.76580810546875,0.10724780708551407,0.10488300025463104,0.18404559791088104,7413.37841796875,12509.123046875,41625.81640625,86.10097803142976,111.84419093933757,204.02405840059646,0.8828305006027222,0.6411100625991821,0.5824618339538574,73.7614242553711
