epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,179.28881314269498,188.44833679199218,294.3485493977865,179.788818359375,188.9483184814453,294.8485412597656,132.5333251953125,166.4326171875,171.4522705078125,0.3958244025707245,0.398193895816803,0.31433799862861633,54498.7890625,68130.515625,178210.34375,233.44975704099588,261.0182285301163,422.1496698447128,-0.17399179935455322,-0.013711690902709961,-0.2835811376571655,188.44833679199218
2,0.0009997532801828658,117.33346844534589,174.84503885904948,280.9894653320313,117.83170318603516,175.3450164794922,281.48944091796875,85.01397705078125,88.3145751953125,168.70867919921875,0.24635709822177887,0.38631725311279297,0.28415820002555847,24863.99609375,64853.765625,160353.5,157.68321436903167,254.66402499175263,400.4416312023514,0.4643893837928772,0.03504288196563721,-0.15496504306793213,174.84503885904948
3,0.0009994449374809851,107.74195770524506,180.17391560872395,284.71351114908856,108.24195861816406,180.67391967773438,285.2135314941406,87.3427734375,75.9002685546875,142.73638916015625,0.2233554571866989,0.38930827379226685,0.28203973174095154,21745.76953125,64085.48828125,171086.4375,147.46446870771956,253.15111747975754,413.62596328083663,0.531561017036438,0.04647409915924072,-0.2322702407836914,174.84503885904948
4,0.0009990133642141358,94.31896105383197,155.29847005208333,259.5441436767578,94.81550598144531,155.79843139648438,260.04412841796875,78.96826171875,66.0633544921875,152.65814208984375,0.1761932373046875,0.3393142819404602,0.24560591578483582,16015.9404296875,49143.2890625,145663.78125,126.55410080154455,221.68285694320164,381.6592475625345,0.6549908518791199,0.2687985897064209,-0.04916059970855713,155.29847005208333
5,0.000998458666866564,84.03329493856837,161.17172546386718,270.8810099283854,84.53302764892578,161.6717071533203,271.3810119628906,60.1417236328125,100.47271728515625,100.50384521484375,0.1516043245792389,0.32878589630126953,0.23769511282444,13112.98828125,51199.23046875,172403.609375,114.5119569357279,226.27246953341452,415.21513625468907,0.7175251245498657,0.23820829391479492,-0.24175739288330078,155.29847005208333
6,0.00099778098230154,78.4949214967907,150.1590108235677,247.69573872884115,78.99491882324219,150.6590118408203,248.19573974609375,61.27978515625,64.917236328125,123.99896240234375,0.14313675463199615,0.313085675239563,0.22628085315227509,10385.453125,46881.0234375,137572.9375,101.9090433916441,216.52026103231077,370.9082602207721,0.7762805819511414,0.3024587035179138,0.009114623069763184,150.1590108235677
7,0.0009969804777275899,68.81468102870843,164.83377787272136,261.1175476074219,69.31468963623047,165.33377075195312,261.6175537109375,50.086181640625,98.91036987304688,107.98358154296875,0.119828000664711,0.3550451397895813,0.25091928243637085,8954.1484375,53163.4609375,133929.296875,94.62636227553081,230.57202982473828,365.96351850286936,0.8071132302284241,0.20898252725601196,0.035358428955078125,150.1590108235677
8,0.000996057350657239,60.5422125270224,157.7426981608073,242.1615732828776,61.04119110107422,158.24269104003906,242.66156005859375,38.979461669921875,84.0938720703125,103.89471435546875,0.1065656766295433,0.33496126532554626,0.22188188135623932,7383.4208984375,50181.859375,130109.78125,85.92683456544586,224.0130785802472,360.70733462185103,0.8409491777420044,0.2533457279205322,0.06286889314651489,150.1590108235677
9,0.0009950118288582787,59.318323738554604,140.26839803059895,247.11316935221353,59.814212799072266,140.76768493652344,247.61318969726562,38.738250732421875,51.9202880859375,122.67230224609375,0.10044056922197342,0.2923682928085327,0.2314033806324005,6882.021484375,44488.9609375,131332.265625,82.95795009747408,210.92406438692575,362.39793821847275,0.8517501354217529,0.33805012702941895,0.05406379699707031,140.26839803059895
10,0.0009938441702975688,54.65361397898095,141.23827056884767,259.8907938639323,55.150047302246094,141.73825073242188,260.3907775878906,39.68646240234375,61.02276611328125,111.33538818359375,0.09585998207330704,0.2848094403743744,0.2379762828350067,6165.16650390625,49147.9296875,148072.1875,78.51857426052928,221.69332350682103,384.8014910314148,0.8671923875808716,0.2687295079231262,-0.06650745868682861,140.26839803059895
11,0.000992554663077387,51.453330602401344,150.971484375,229.8955088297526,51.944854736328125,151.4714813232422,230.39549255371094,38.29034423828125,74.098388671875,96.33831787109375,0.08794361352920532,0.3236432671546936,0.21885395050048828,5606.927734375,45292.578125,105955.2109375,74.87942130101567,212.82053031838822,325.50762039850923,0.8792177438735962,0.3260931372642517,0.23684507608413696,140.26839803059895
12,0.0009911436253643444,54.91158663105761,156.98150329589845,208.1615244547526,55.40440368652344,157.4814910888672,208.64183044433594,43.85418701171875,145.5450439453125,126.193359375,0.09449322521686554,0.3451816141605377,0.21231727302074432,5279.31787109375,43686.48828125,86313.7890625,72.65891460167671,209.0131294470517,293.7920847512744,0.8862749934196472,0.3499901294708252,0.378314733505249,140.26839803059895
13,0.000989611405310883,59.39167016184228,152.12716979980468,232.65052591959636,59.89167022705078,152.62716674804688,233.1505584716797,46.82470703125,69.6507568359375,137.14654541015625,0.10261772572994232,0.32736435532569885,0.21771317720413208,6248.16796875,46073.34765625,117337.734375,79.04535387200187,214.6470303923397,342.54595950762575,0.8654043674468994,0.3144761919975281,0.15486109256744385,140.26839803059895
14,0.0009879583809693738,50.406232393704926,139.1363057454427,221.64295959472656,50.90623474121094,139.6363067626953,222.14297485351562,38.28759765625,57.94183349609375,90.9862060546875,0.08083474636077881,0.2928254008293152,0.20602135360240936,4509.84423828125,39069.765625,102693.203125,67.15537386003632,197.66073364479857,320.45780240930316,0.9028506875038147,0.4186822175979614,0.2603400945663452,139.1363057454427
15,0.0009861849601988384,45.24849319458008,149.43360493977863,238.0525166829427,45.74500274658203,149.93353271484375,238.55250549316406,37.49957275390625,70.2359619140625,101.79266357421875,0.07462461292743683,0.30500778555870056,0.21563196182250977,3914.3408203125,47781.5078125,121888.7734375,62.56469308094223,218.5898163513113,349.1257272638326,0.9156787991523743,0.28906047344207764,0.1220816969871521,139.1363057454427
16,0.0009842915805643156,49.68525699061206,153.49103902180988,246.59601847330728,50.183998107910156,153.99102783203125,247.07203674316406,41.30023193359375,58.001220703125,121.69146728515625,0.08626604825258255,0.31876763701438904,0.2286662757396698,4252.93505859375,48490.859375,129673.65625,65.21453103867074,220.20640175753292,360.1022858161275,0.9083849191665649,0.2785061001777649,0.06601011753082275,139.1363057454427
17,0.000982278709228899,46.597528115296974,140.76624755859376,216.3600107828776,47.09752655029297,141.26622009277344,216.8600311279297,38.33953857421875,55.0321044921875,119.4205322265625,0.07781746983528137,0.31183138489723206,0.20401455461978912,3954.539306640625,43468.578125,99234.796875,62.885127865343684,208.49119435841888,315.01555021141417,0.9148128628730774,0.35323238372802734,0.28524959087371826,139.1363057454427
18,0.0009801468428384716,42.019327277811165,153.23034261067707,259.6614278157552,42.51932907104492,153.73033142089844,260.16143798828125,31.39013671875,84.12814331054688,153.93292236328125,0.06755146384239197,0.329536497592926,0.25695765018463135,3309.89404296875,45032.87890625,117939.3671875,57.531678603780975,212.20951653083327,343.4230149356621,0.9286995530128479,0.3299572467803955,0.15052777528762817,139.1363057454427
19,0.000977896507399165,50.47335456782936,160.68673197428384,244.01449788411458,50.9710693359375,161.18673706054688,244.5144805908203,40.460205078125,65.19305419921875,126.3927001953125,0.08825143426656723,0.3352152705192566,0.2293095588684082,4272.19970703125,52549.1328125,123897.625,65.36206626959746,229.2359762613626,351.9909444857921,0.9079699516296387,0.21812313795089722,0.1076127290725708,139.1363057454427
20,0.0009755282581475768,42.88096468672793,154.59190266927084,243.03095499674478,43.38096237182617,155.09188842773438,243.5309600830078,30.757568359375,50.594329833984375,85.78118896484375,0.07083650678396225,0.32811668515205383,0.22251111268997192,3185.943603515625,52623.59765625,133473.28125,56.44416359124852,229.3983383903423,365.3399529889935,0.9313696622848511,0.21701520681381226,0.03864288330078125,139.1363057454427
21,0.0009730426794137727,48.525340023203796,148.13460540771484,233.78477884928387,49.02397537231445,148.6345977783203,234.28475952148438,36.27081298828125,33.18939208984375,76.08502197265625,0.07669925689697266,0.31459248065948486,0.21167348325252533,4956.083984375,49421.04296875,122754.5546875,70.39946011422957,222.3084410649987,350.3634608338889,0.8932379484176636,0.2646659016609192,0.11584579944610596,139.1363057454427
22,0.0009704403844771128,40.91191247793344,153.12352396647137,236.8874715169271,41.408470153808594,153.62351989746094,237.38748168945312,29.559814453125,61.40167236328125,98.725830078125,0.06678471714258194,0.3264118432998657,0.21702013909816742,2889.88232421875,50295.1015625,119885.4453125,53.757625730855615,224.26569412752366,346.2447765851494,0.9377472996711731,0.2516608238220215,0.1365109086036682,139.1363057454427
