epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,176.29353860708383,173.5074005126953,171.0576395670573,176.7935333251953,174.0074005126953,171.53082275390625,124.07080078125,110.32647705078125,80.25494384765625,0.3295155465602875,0.3849332630634308,0.26745671033859253,58417.26953125,64346.58203125,74413.046875,241.69664774516423,253.6662808322186,272.7875489735556,0.020383238792419434,0.25929975509643555,-0.009182095527648926,173.5074005126953
2,0.0009997532801828658,145.86244984162158,180.05167236328126,166.48629557291667,146.36192321777344,180.55166625976562,166.98629760742188,99.7952880859375,122.510498046875,111.57470703125,0.27644243836402893,0.35860776901245117,0.24131245911121368,44319.8828125,57574.78515625,68482.578125,210.5228795463809,239.94746332530795,261.6917616681886,0.256786584854126,0.33725064992904663,0.07124638557434082,173.5074005126953
3,0.0009994449374809851,122.95425767164964,151.52896728515626,146.17485555013022,123.45205688476562,152.0289764404297,146.6748504638672,98.0025634765625,158.265380859375,66.60601806640625,0.24097706377506256,0.32213741540908813,0.2097758799791336,29105.8828125,40097.3203125,59993.640625,170.604463049769,200.2431529728295,244.93599291447552,0.5119147300720215,0.5384355187416077,0.18637245893478394,151.52896728515626
4,0.0009990133642141358,111.94957873352573,147.75657755533854,137.81407267252604,112.4495849609375,148.25657653808594,138.31407165527344,90.37188720703125,110.227783203125,58.15362548828125,0.19285577535629272,0.2930833399295807,0.18032798171043396,25406.5859375,38219.84765625,59037.4375,159.3944350894974,195.49897098514356,242.9762076829746,0.5739493370056152,0.5600473284721375,0.19934040307998657,147.75657755533854
5,0.000998458666866564,100.76357034536508,129.8815897623698,127.50095723470052,101.26057434082031,130.381591796875,128.00096130371094,73.68893432617188,99.786376953125,50.545654296875,0.17836081981658936,0.2715347409248352,0.16703197360038757,19586.921875,30821.052734375,55674.23046875,139.95328461668916,175.5592570455201,235.95387360403728,0.6715410351753235,0.645215630531311,0.24495184421539307,129.8815897623698
6,0.00099778098230154,80.50876884786491,122.93780415852865,100.74152425130208,81.00819396972656,123.43779754638672,101.24146270751953,50.5029296875,103.54534912109375,39.83453369140625,0.13906708359718323,0.2388284057378769,0.11285427212715149,14410.6328125,27958.31640625,49016.9609375,120.04429521014316,167.20740535708939,221.39774374979524,0.7583437561988831,0.6781688928604126,0.3352370262145996,122.93780415852865
7,0.0009969804777275899,80.2144271981003,134.59937947591146,127.63536275227865,80.71371459960938,135.09938049316406,128.13534545898438,51.52459716796875,109.85220336914062,49.8275146484375,0.13029664754867554,0.23198111355304718,0.15278343856334686,13492.1005859375,31261.63671875,59734.04296875,116.15550174631204,176.8096058441113,244.40548882696967,0.773746907711029,0.6401439905166626,0.18989312648773193,122.93780415852865
8,0.000996057350657239,75.42140191233057,117.39581705729167,101.53158060709636,75.92139434814453,117.89583587646484,102.0180435180664,55.91912841796875,78.80548095703125,56.87200927734375,0.12089701741933823,0.2075459063053131,0.12023457884788513,12492.1630859375,25127.05078125,48240.8359375,111.76834563478829,158.5151436969036,219.63796561045635,0.7905151844024658,0.7107598781585693,0.3457627296447754,117.39581705729167
9,0.0009950118288582787,70.17245144314236,121.2633565266927,118.01180725097656,70.67244720458984,121.76334381103516,118.51180267333984,49.47283935546875,96.00772094726562,68.6187744140625,0.11408911645412445,0.20007695257663727,0.13852277398109436,11037.0078125,24982.17578125,53462.5078125,105.0571644986671,158.05750782942897,231.21960948955,0.8149170875549316,0.71242755651474,0.27494698762893677,117.39581705729167
10,0.0009938441702975688,64.16331397162543,136.9536142985026,116.52611897786458,64.65714263916016,137.45361328125,117.02613067626953,46.0333251953125,136.5848388671875,41.99267578125,0.09993990510702133,0.2213340848684311,0.13434813916683197,10009.8759765625,29432.556640625,54062.5859375,100.04936769696498,171.55919281876155,232.51362527279989,0.8321413993835449,0.6611987352371216,0.26680880784988403,117.39581705729167
