epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,151.02562673468339,95.54049791608539,104.40139617919922,151.52508544921875,96.02616119384766,104.90139770507812,128.82943725585938,89.5616455078125,80.28814697265625,0.1942766159772873,0.09607140719890594,0.11403656005859375,37699.10546875,14416.6083984375,16388.076171875,194.16257484064738,120.06918171803079,128.01592155616817,0.571591854095459,0.7064923048019409,0.7045192718505859,95.54049791608539
2,0.0009997532801828658,107.8789779930784,77.31779479980469,67.48202845255534,108.37897491455078,77.81779479980469,67.98202514648438,70.07879638671875,40.610748291015625,36.59051513671875,0.14256629347801208,0.07756936550140381,0.07046648114919662,22647.029296875,11439.0263671875,12404.3896484375,150.4892996092247,106.9533840847848,111.37499561588095,0.7426418662071228,0.7671128511428833,0.7763460874557495,77.31779479980469
3,0.0009994449374809851,86.79471895987527,75.0396728515625,54.266042709350586,87.29264831542969,75.5396728515625,54.73377227783203,63.947479248046875,67.4896240234375,35.25701904296875,0.11999281495809555,0.07608336955308914,0.05934831127524376,14762.4384765625,8405.0771484375,7253.44482421875,121.50077562123832,91.67920783055175,85.167158131634,0.832241415977478,0.828881025314331,0.8692187666893005,75.0396728515625
4,0.0009990133642141358,72.49885425233005,70.21212877546039,63.36588185628255,72.99764251708984,70.71212768554688,63.865882873535156,51.320159912109375,47.24005126953125,28.4071044921875,0.1025489866733551,0.06981976330280304,0.069093719124794,11168.94921875,9923.2607421875,8362.64453125,105.68324947100179,99.6155647586636,91.44749603597684,0.873077392578125,0.7979723215103149,0.8492196202278137,70.21212877546039
5,0.000998458666866564,76.33616450794956,72.45525469098773,53.13493677775065,76.82881164550781,72.95525360107422,53.63493728637695,46.80963134765625,45.345672607421875,25.14190673828125,0.10656304657459259,0.07278735935688019,0.05755363032221794,12813.119140625,9369.935546875,6206.5087890625,113.19504909944162,96.79842739877027,78.78139875035541,0.8543932437896729,0.8092374801635742,0.8880952596664429,70.21212877546039
6,0.00099778098230154,73.45479142038445,62.48531886509487,69.20161997477213,73.95394134521484,62.98531723022461,69.70162200927734,53.5272216796875,30.541534423828125,42.61297607421875,0.10224365442991257,0.06073372811079025,0.07502540200948715,10715.947265625,9181.3251953125,11493.5849609375,103.51785964569109,95.81923186559419,107.20813850140996,0.8782252669334412,0.8130773901939392,0.7927680611610413,62.48531886509487
7,0.0009969804777275899,75.8827008699116,91.17816598074776,68.3429168701172,76.38043975830078,91.67816925048828,68.83922576904297,62.360137939453125,93.05654907226562,53.69696044921875,0.10491097718477249,0.08704322576522827,0.07555537670850754,11356.234375,13355.2626953125,9198.5244140625,106.56563411813397,115.56497174885001,95.90893813437046,0.8709490895271301,0.7281001806259155,0.8341485261917114,62.48531886509487
8,0.000996057350657239,64.187729149534,81.12972586495536,69.66425844828288,64.68567657470703,81.62972259521484,70.16426086425781,44.18646240234375,58.0030517578125,30.18499755859375,0.09442747384309769,0.08298290520906448,0.06846196949481964,8973.1943359375,13964.8994140625,14160.2392578125,94.72694619767651,118.1731755266926,118.99680356132471,0.8980296850204468,0.7156885862350464,0.7446876764297485,62.48531886509487
9,0.0009950118288582787,70.09854875531113,69.26097869873047,61.62791798909505,70.59365844726562,69.76097869873047,62.117000579833984,46.333953857421875,58.670318603515625,29.49847412109375,0.09872636198997498,0.07218853384256363,0.06357474625110626,10416.0146484375,7981.68701171875,9794.0732421875,102.05887834205068,89.3402877302214,98.96501019141816,0.8816336393356323,0.837500810623169,0.8234106302261353,62.48531886509487
10,0.0009938441702975688,55.608421994928726,68.83352443150112,67.95307337443033,56.10536575317383,69.3335189819336,68.45307922363281,34.90570068359375,74.65335083007812,57.1385498046875,0.08479747176170349,0.06622915714979172,0.07489235699176788,7561.783203125,7395.0859375,6676.0810546875,86.95851426470556,85.99468551893193,81.70728887123535,0.9140688180923462,0.8494434356689453,0.8796287775039673,62.48531886509487
11,0.000992554663077387,66.41459254214638,75.61290849958148,59.4907829284668,66.90946960449219,76.11290740966797,59.98804473876953,48.274200439453125,74.33346557617188,31.953857421875,0.09425986558198929,0.0791085809469223,0.06226286664605141,9132.77734375,8416.4970703125,8529.8896484375,95.56556568006073,91.74146865138196,92.35740169817198,0.8962162137031555,0.828648567199707,0.8462041616439819,62.48531886509487
12,0.0009911436253643444,59.5162856787966,64.7391586303711,61.20185292561849,60.01565170288086,65.236328125,61.699344635009766,38.732513427734375,49.371826171875,34.90802001953125,0.08123784512281418,0.06467410176992416,0.06733383983373642,6919.146484375,7769.8515625,8433.484375,83.18140708340417,88.14676149751618,91.83400445913267,0.9213716387748718,0.8418135643005371,0.8479423522949219,62.48531886509487
