epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,132.19920837776118,77.03744098752044,56.60473043268377,132.69778442382812,77.53743743896484,57.104732513427734,96.02056884765625,69.04800415039062,53.13417053222656,0.5166181921958923,0.32872557640075684,0.23125676810741425,32204.31640625,9929.0927734375,4954.212890625,179.4556112420283,99.64483314972985,70.3861697396939,-2.1469624042510986,0.0049825310707092285,0.08933019638061523,77.03744098752044
2,0.0009997532801828658,55.20707073816305,53.1423901402673,38.15171397816051,55.707069396972656,53.63855743408203,38.64590835571289,47.902557373046875,50.64759826660156,33.25396728515625,0.22710873186588287,0.2598818242549896,0.14894019067287445,5031.67529296875,4750.5732421875,2382.027099609375,70.93430265371437,68.92440237091287,48.806014994151845,0.5083115100860596,0.523934006690979,0.5621423721313477,53.1423901402673
3,0.0009994449374809851,45.769377265952166,46.75513946178348,30.683318745006215,46.26654052734375,47.23491668701172,31.183320999145508,36.717193603515625,40.990814208984375,25.410728454589844,0.18639591336250305,0.21881884336471558,0.1276814341545105,3649.92724609375,3427.251708984375,1462.7677001953125,60.414627749360086,58.542734040907035,38.2461462136424,0.6433340907096863,0.6565471291542053,0.7311180830001831,46.75513946178348
4,0.0009990133642141358,34.43573587291179,38.213925738667335,21.289894104003906,34.93384552001953,38.707550048828125,21.789894104003906,26.245819091796875,29.589187622070312,18.648788452148438,0.13804888725280762,0.1711464524269104,0.08219905197620392,2252.931640625,2646.595947265625,852.7787475585938,47.46505704858048,51.44507699737289,29.202375717715054,0.7798465490341187,0.7347784638404846,0.8432445526123047,38.213925738667335
5,0.000998458666866564,31.46178777073577,30.595119431961415,22.8317458412864,31.959754943847656,31.08765983581543,23.331745147705078,22.690582275390625,19.178741455078125,19.36705780029297,0.12576159834861755,0.1359982192516327,0.09275679290294647,1909.2935791015625,1784.2005615234375,904.2001953125,43.695464056370454,42.239798313006155,30.069921770974066,0.8134263753890991,0.8212010860443115,0.8337924480438232,30.595119431961415
6,0.00099778098230154,26.855794516351793,31.029393440069153,20.205059311606668,27.34973907470703,31.52288055419922,20.70050048828125,19.971099853515625,25.80523681640625,15.127967834472656,0.10878178477287292,0.13307245075702667,0.07664739340543747,1416.009033203125,1623.86279296875,881.960693359375,37.62989547159446,40.297180955604695,29.697823040744503,0.8616295456886292,0.8372689485549927,0.8378804326057434,30.595119431961415
7,0.0009969804777275899,24.792694817358893,27.898466154586437,22.00713365728205,25.28935432434082,28.39093780517578,22.502168655395508,18.3568115234375,18.518402099609375,17.30419921875,0.09856761991977692,0.12306153774261475,0.08881725370883942,1197.9061279296875,1756.8929443359375,917.7238159179688,34.610780516042794,41.91530680235965,30.293956755728836,0.8829421997070312,0.8239376544952393,0.8313065767288208,27.898466154586437
8,0.000996057350657239,24.51554809042631,27.643829744915628,22.05282904885032,25.009410858154297,28.14080047607422,22.54755401611328,18.68743896484375,19.861129760742188,17.131118774414062,0.0991763025522232,0.11276517808437347,0.08563370257616043,1163.7900390625,1563.57080078125,918.3318481445312,34.11436704766043,39.542013109871505,30.303990630683135,0.8862760066986084,0.8433109521865845,0.8311947584152222,27.643829744915628
9,0.0009950118288582787,22.115216169989417,23.867348249568497,16.421886097301137,22.611431121826172,24.367345809936523,16.905439376831055,15.746292114257812,19.738937377929688,11.271484375,0.08596839755773544,0.10197819024324417,0.0618668794631958,995.7920532226562,884.0205078125,546.458740234375,31.556172981251326,29.732482368825178,23.376456964954613,0.9026925563812256,0.9114102721214294,0.8995514512062073,23.867348249568497
10,0.0009938441702975688,21.5814651797072,30.0023263443348,25.470638968727805,22.076622009277344,30.501237869262695,25.970640182495117,14.840469360351562,19.679405212402344,19.99932861328125,0.08687972277402878,0.12782107293605804,0.09918916970491409,1045.1322021484375,1741.2808837890625,1131.881103515625,32.32850448363545,41.7286578239591,33.64344072052716,0.8978711366653442,0.8255021572113037,0.7919407486915588,23.867348249568497
11,0.000992554663077387,21.980462505769317,25.11329925891965,13.905598033558238,22.47746467590332,25.610260009765625,14.393204689025879,16.3265380859375,19.059539794921875,10.672401428222656,0.08898914605379105,0.10149842500686646,0.05466042831540108,961.5375366210938,1197.36328125,372.50469970703125,31.008668733454098,34.60293746562566,19.300380817668632,0.906039834022522,0.8800094127655029,0.9315271973609924,23.867348249568497
12,0.0009911436253643444,19.195353922995093,22.22391172896984,17.12524275346236,19.685972213745117,22.722875595092773,17.61795425415039,14.7808837890625,20.085845947265625,13.912139892578125,0.07828332483768463,0.09079262614250183,0.0651804730296135,745.8582153320312,798.0807495117188,545.6259765625,27.310404891396818,28.2503229983609,23.35863815727492,0.9271157383918762,0.9200224876403809,0.8997045159339905,22.22391172896984
13,0.000989611405310883,19.744169982778235,22.518296352652616,18.057747927579012,20.2353572845459,23.018295288085938,18.557031631469727,15.8175048828125,18.986907958984375,13.962684631347656,0.07958857715129852,0.0905652567744255,0.06688009947538376,854.8026123046875,856.0892333984375,612.2533569335938,29.237007581226358,29.259002604300058,24.74375389736961,0.9164698123931885,0.9142093062400818,0.8874572515487671,22.22391172896984
14,0.0009879583809693738,19.631671768100528,21.788157485252203,19.1013991615989,20.12185287475586,22.28815460205078,19.601259231567383,15.42803955078125,16.74420166015625,14.148513793945312,0.07647780328989029,0.09054457396268845,0.07311411201953888,797.9518432617188,774.6521606445312,641.3858032226562,28.248041405763317,27.83257373374822,25.325595811799893,0.922025203704834,0.9223703145980835,0.8821022510528564,21.788157485252203
15,0.0009861849601988384,20.201862686992722,21.54234988190407,17.73459989374334,20.695199966430664,22.03812599182129,18.22455596923828,15.726318359375,15.914169311523438,13.084579467773438,0.08071492612361908,0.0901384949684143,0.06752870976924896,918.75830078125,872.5498657226562,705.3510131835938,30.311026059525766,29.53895505468425,26.558445232799183,0.910220205783844,0.9125597476959229,0.870344340801239,21.54234988190407
16,0.0009842915805643156,17.201069158504605,24.230447103810864,20.309927853670988,17.693761825561523,24.73019027709961,20.809410095214844,12.909713745117188,18.598342895507812,16.055931091308594,0.06737109273672104,0.10331505537033081,0.07528214901685715,605.5281372070312,1090.5062255859375,795.6734008789062,24.60748132595108,33.022813713945354,28.20768336604242,0.9408286213874817,0.8907178640365601,0.8537415266036987,21.54234988190407
17,0.000982278709228899,18.329256530453904,24.21756163308787,21.498741843483664,18.821020126342773,24.717559814453125,21.998741149902344,14.711578369140625,19.67474365234375,21.4627685546875,0.07374867051839828,0.09927213191986084,0.08483919501304626,655.1759033203125,1066.667724609375,688.0428466796875,25.596404109177378,32.65987943347886,26.23057084166655,0.9359771013259888,0.8931067585945129,0.873525857925415,21.54234988190407
18,0.0009801468428384716,19.45824333432772,26.9203438426173,20.501873363148082,19.95054817199707,27.420345306396484,21.001874923706055,14.58502197265625,18.38397979736328,15.844123840332031,0.0739070251584053,0.1080131009221077,0.0797380805015564,804.64501953125,1361.406005859375,697.0408325195312,28.366265519649392,36.89723574821527,26.40153087454459,0.9213711619377136,0.8635703325271606,0.8718718886375427,21.54234988190407
19,0.000977896507399165,16.876170051200933,24.75629620219386,19.26702846180309,17.36742401123047,25.256296157836914,19.756248474121094,13.589248657226562,20.272293090820312,15.117828369140625,0.06766054034233093,0.09769412130117416,0.07626832276582718,595.5018310546875,1075.5897216796875,650.0171508789062,24.40290620099761,32.796184559788166,25.495433922153712,0.9418084025382996,0.8922126293182373,0.8805156350135803,21.54234988190407
20,0.0009755282581475768,18.552483792263768,24.019482812216115,17.0006367076527,19.04633903503418,24.518129348754883,17.499914169311523,14.64923095703125,15.11273193359375,12.283180236816406,0.0716327503323555,0.09696011990308762,0.06531056016683578,733.8547973632812,1147.701904296875,497.7291259765625,27.08975447218526,33.877749398342196,22.30984370130285,0.9282886981964111,0.8849861025810242,0.9085087776184082,21.54234988190407
21,0.0009730426794137727,16.78624731388147,26.044060019559637,18.169571096246894,17.27764320373535,26.539264678955078,18.659936904907227,12.674407958984375,17.850250244140625,12.235084533691406,0.06817693263292313,0.10196245461702347,0.06646095961332321,586.2811889648438,1319.792724609375,673.1551513671875,24.213244081800433,36.328951603499036,25.94523369266863,0.9427093863487244,0.8677405118942261,0.8762624859809875,21.54234988190407
22,0.0009704403844771128,18.44360938608131,24.935680123262628,23.81097481467507,18.93991470336914,25.43452262878418,24.30657196044922,13.27960205078125,19.105239868164062,22.3526611328125,0.07207299023866653,0.10152440518140793,0.09132346510887146,666.0941772460938,1156.33349609375,874.8676147460938,25.808800383708146,34.00490400065482,29.57816111163934,0.9349101781845093,0.8841211199760437,0.8391842246055603,21.54234988190407
23,0.0009677220154149337,20.72751708676561,24.745615449062612,17.87430052323775,21.221948623657227,25.24500274658203,18.373397827148438,16.410354614257812,17.474594116210938,12.656036376953125,0.08363959938287735,0.09684992581605911,0.06540694832801819,791.8439331054688,1101.2325439453125,593.8118896484375,28.139721624519826,33.18482400051735,24.368255777721096,0.9226220846176147,0.8896429538726807,0.8908471465110779,21.54234988190407
24,0.0009648882429441257,16.794213597300416,23.255644776100336,15.26978822187944,17.286659240722656,23.73029899597168,15.752913475036621,13.57098388671875,13.261642456054688,13.016220092773438,0.06829739362001419,0.09429486095905304,0.05776720866560936,561.6416015625,1137.36328125,449.7565612792969,23.698978913921586,33.72481699357314,21.207464753696915,0.9451171159744263,0.8860222101211548,0.9173269867897034,21.54234988190407
